danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.332,0.525,7,-5.099,1,0.0311,0.000849,0.00381,0.0612,0.322,99.138,120013,4.0
0.659,0.63,5,-5.43,1,0.0373,0.574,0.0001419999999999,0.0886,0.381,129.936,217846,4.0
0.5579999999999999,0.8140000000000001,6,-7.3610000000000015,0,0.047,0.1159999999999999,0.0002009999999999,0.698,0.706,110.688,175640,4.0
0.57,0.693,0,-4.777,1,0.0456,0.16,0.0,0.128,0.54,82.04799999999999,202627,4.0
0.512,0.998,1,-2.721,1,0.196,0.00255,3.3600000000000004e-05,0.3389999999999999,0.302,110.029,203499,3.0
0.381,0.95,0,-5.347,1,0.0414,7.31e-05,0.000104,0.0578,0.7879999999999999,97.19,208587,4.0
0.696,0.0827,10,-21.36,1,0.384,0.9,9.26e-06,0.103,0.36,127.059,174467,4.0
0.662,0.657,3,-5.011,0,0.0935,0.0293,0.0,0.341,0.423,99.789,252648,4.0
0.618,0.6579999999999999,11,-7.551,1,0.0889,0.315,0.000105,0.377,0.64,103.838,291698,4.0
0.5760000000000001,0.7090000000000001,1,-5.459,0,0.0431,0.000548,0.183,0.186,0.314,129.05700000000002,382227,4.0
0.264,0.746,11,-14.380999999999998,1,0.0454,0.984,0.979,0.136,0.0319,83.552,58387,3.0
0.534,0.0355,9,-27.591,1,0.0809,0.841,0.0009289999999999,0.0788,0.165,126.483,265493,4.0
0.51,0.392,4,-8.315,1,0.0261,0.731,1.54e-06,0.114,0.491,99.86,204640,3.0
0.316,0.205,0,-11.135,1,0.032,0.87,0.000811,0.0994,0.124,84.574,187640,3.0
0.628,0.7040000000000001,4,-4.106,0,0.0266,0.0896,0.0,0.0987,0.3289999999999999,115.016,220600,4.0
0.285,0.94,9,-4.32,0,0.122,0.00426,0.475,0.413,0.551,169.125,316987,4.0
0.508,0.679,9,-7.537000000000001,0,0.0295,0.509,0.612,0.11,0.525,139.972,186000,4.0
0.308,0.0123,1,-32.416,0,0.0424,0.995,0.936,0.114,0.0366,79.821,167333,4.0
0.551,0.956,5,-4.523,0,0.0608,2.99e-05,0.00128,0.696,0.731,125.056,299653,4.0
0.39,0.794,10,-8.043,1,0.136,0.481,0.000241,0.13,0.0541,128.971,192240,4.0
0.411,0.945,1,-3.966,0,0.106,0.000347,3.15e-05,0.132,0.444,182.045,157147,4.0
0.894,0.316,7,-18.975,1,0.0978,0.608,0.0153,0.111,0.64,132.061,145467,4.0
0.397,0.531,9,-10.531,0,0.0519,0.305,0.000239,0.12,0.313,135.349,229800,4.0
0.623,0.625,2,-9.168,1,0.0371,0.00777,0.8420000000000001,0.109,0.0383,120.026,299133,4.0
0.5589999999999999,0.4029999999999999,6,-13.055,1,0.0546,0.379,0.000131,0.171,0.354,136.874,207765,4.0
0.738,0.8079999999999999,0,-6.9270000000000005,1,0.046,0.0316,0.0,0.126,0.733,111.978,188067,4.0
0.72,0.693,2,-10.619000000000002,1,0.0807,0.000109,0.6809999999999999,0.149,0.8170000000000001,138.001,426087,4.0
0.6709999999999999,0.698,5,-12.487,1,0.0317,0.0151,0.0809,0.0534,0.976,142.358,179320,4.0
0.298,0.07,0,-19.949,0,0.0402,0.975,0.589,0.0891,0.0814,102.102,650427,3.0
0.14,0.981,9,-6.416,1,0.0887,1.4e-06,0.8640000000000001,0.387,0.0361,102.171,211322,4.0
0.625,0.945,6,-5.632999999999999,1,0.0654,0.0181,0.061,0.1119999999999999,0.537,98.015,373125,4.0
0.278,0.952,8,-5.278,1,0.28,2.31e-05,0.221,0.1119999999999999,0.165,183.604,306320,4.0
0.349,0.417,2,-10.525,0,0.0325,0.8009999999999999,0.00236,0.141,0.27,76.726,301120,4.0
0.7190000000000001,0.866,10,-7.707999999999997,0,0.302,0.28,0.0,0.384,0.406,94.367,123253,4.0
0.376,0.416,5,-5.386,0,0.0364,0.32,1.57e-05,0.0974,0.125,184.134,186478,4.0
0.482,0.918,10,-6.9110000000000005,0,0.0955,4.73e-05,0.000356,0.313,0.313,108.701,293582,3.0
0.382,0.0824,1,-18.633,1,0.0308,0.963,0.889,0.103,0.0429,72.275,342960,4.0
0.455,0.627,2,-8.711,1,0.0384,0.069,1.75e-06,0.6990000000000001,0.355,94.044,200387,4.0
0.636,0.489,8,-13.368,1,0.0506,0.375,0.0,0.0538,0.6509999999999999,139.826,210853,4.0
0.33,0.32,2,-15.566,1,0.0326,0.3979999999999999,0.0752,0.0852,0.154,153.594,340093,4.0
0.775,0.289,2,-19.399,1,0.0466,0.15,1.7899999999999998e-05,0.109,0.623,122.785,130680,4.0
0.377,0.742,6,-4.822,0,0.0485,0.0178,9.27e-06,0.109,0.483,157.438,265658,4.0
0.266,0.218,9,-17.811,1,0.0444,0.889,0.3670000000000001,0.158,0.1369999999999999,56.832,807520,4.0
0.4579999999999999,0.7140000000000001,9,-5.02,1,0.0688,0.0172,7.41e-05,0.337,0.873,157.467,180533,4.0
0.527,0.51,10,-10.14,1,0.0352,0.0409,0.1009999999999999,0.264,0.204,112.67,203512,4.0
0.728,0.727,11,-4.752,0,0.0305,0.0865,0.0,0.304,0.426,106.032,215427,4.0
0.376,0.0433,7,-22.439,0,0.0553,0.994,0.951,0.166,0.17,100.4,193787,3.0
0.58,0.561,9,-13.194,1,0.4629999999999999,0.422,0.0,0.126,0.4,97.518,51467,4.0
0.7829999999999999,0.428,11,-11.329,0,0.063,0.361,0.691,0.107,0.77,115.98,204188,4.0
