x,y
5.132124533751397655e-01,1.567784742896327910e-01
5.042112515757515290e-01,1.568099299334645425e-01
5.506427143650017841e-01,1.750547101963220165e-01
8.744392165922539872e-01,7.527550129798774581e-01
6.994405661914293582e-01,5.784591071230384962e-01
7.026032567496108827e-01,5.728362270239035769e-01
5.730328479292858823e-01,3.937264103498899215e-01
6.239213612569364242e-01,4.673840283642168303e-01
6.436238205871477325e-01,3.340802987224814613e-01
7.036861221523756926e-01,6.280888717447604686e-01
7.777610026829442358e-01,8.784851951355445721e-01
6.222673284868464050e-01,5.357159831843896214e-01
5.882464455579121676e-01,1.779755812859973307e-01
3.990793315162634580e-01,2.872547484560592501e-01
1.857110496393704069e-01,3.503221797114642322e-01
3.177796432157659612e-01,4.235053872529071506e-01
4.448079110263655211e-01,6.681371547469996397e-01
3.812937771350229932e-01,5.458212710204851659e-01
7.007146649928478466e-01,8.277107790046820401e-01
4.431867665829691272e-01,6.618590678245759307e-01
5.119686049232793357e-01,7.390523553383602229e-01
5.628423127863374509e-01,3.172910887014313563e-01
5.824644305544850464e-01,3.107453213683650239e-01
5.560996894483782871e-01,3.795522921874317501e-01
5.060138360093050514e-01,1.803517288558830756e-01
4.870000206306940860e-01,1.553671149195353374e-01
4.355659683326587595e-01,2.132515095332929433e-01
4.088224993032818499e-01,4.089916547699227189e-01
3.731668315651029966e-01,3.092957492804940811e-01
2.482900381762175590e-01,3.372708366623324294e-01
6.693726104573302083e-01,1.780967385159765992e-01
7.245976366667705726e-01,1.075523794110672116e-01
7.095417429625725525e-01,1.171232888790974536e-01
2.159291361815955934e-01,2.809189975678373918e-01
1.506491275543652697e-01,2.792695622365075625e-01
1.832891318827731819e-01,2.800942798068605244e-01
4.929295473144132411e-01,6.363232325165356640e-01
5.741498673632866590e-01,7.633948772787322312e-01
4.928081420323306427e-01,6.503576615909381076e-01
6.468774266623421587e-01,2.521615557492205562e-01
9.999990373533003130e-01,3.907457998458771509e-01
8.562131921119968681e-01,3.372180904615706964e-01
6.161961144886856090e-01,4.899092771941752078e-01
6.023898109516478971e-01,6.843717241107747373e-01
7.464467691969062235e-01,7.597599727790964597e-01
4.145706255791435368e-01,4.662733802471383249e-01
3.712061476913103286e-01,6.055778731266052706e-01
3.134762369661064363e-01,5.196685517031565116e-01
3.475504000903655299e-01,2.238089639493240635e-01
2.986767355318790673e-01,5.167134230178462850e-01
4.588558626149396025e-01,5.188604936249781030e-01
4.650534170896845620e-01,8.619941188942420451e-01
4.770393488931610193e-01,5.881567513215417708e-01
4.727302789298111763e-01,8.667668698531270088e-01
6.063320728536270021e-02,6.048502745001709258e-01
2.878510508289833236e-01,9.919937397414533287e-01
3.426171612451445192e-01,9.223380381149125506e-01
8.826789885414837444e-01,3.042286320251750276e-01
9.024735372252010723e-01,3.024635121709175478e-01
9.282287822833803492e-01,5.911735549373964282e-01
2.774796663281221543e-01,3.946452247459536489e-01
2.027889877634266591e-01,4.757430130237331189e-01
2.962736982959560672e-01,6.188682234942282090e-01
4.192147287198547123e-01,7.989333487287726410e-01
5.785205781294094907e-01,7.372283614552352926e-01
5.300302567312668023e-01,7.435858883688437615e-01
2.498497934839928325e-01,3.778156593575671685e-01
3.897397562210684896e-01,5.379766735087416762e-01
2.586330383191892679e-08,6.251452322799002648e-01
5.636479014096654749e-01,4.353458844270136074e-02
6.428684806181714784e-01,6.431048500292230186e-02
6.604979394690928540e-01,6.885905561049909807e-02
3.728895387755855051e-01,1.998660033324458352e-01
6.067190390899551700e-01,1.151167075374741056e-01
6.117125730135930528e-01,3.035089397779190401e-01
6.747641704375910710e-01,5.502268455173513484e-01
5.419143055242431339e-01,5.309151150464820335e-01
5.080038112691668273e-01,3.593093140739838653e-01
3.341341996351430144e-01,6.113078716797440970e-01
4.003607339947143351e-01,6.116709235241717391e-01
4.123314915306359185e-01,5.660242734159031119e-01
1.353381437608359716e-01,1.580383528204082622e-01
4.112274637556110890e-01,2.631635056020427688e-01
1.839749306018546582e-01,5.601673143880725458e-02
3.524232343079820029e-01,4.529245632987514147e-01
4.493715072573977176e-01,4.670514255218777278e-01
3.415407304563798374e-01,4.654846376330136759e-01
3.345938474326877188e-01,1.447698415506898928e-01
3.292718714746964981e-01,1.207746903525748206e-01
3.532257014612252277e-01,1.341575773347629119e-01
4.394649131118466556e-02,1.398532650912714947e-01
7.359631913450975782e-02,2.761257477546611439e-01
1.665574407393223266e-01,3.316141147307071213e-01
1.053512553113467587e-01,4.524916333668876356e-01
4.392722769012280537e-02,4.046302622523365589e-01
7.658207065306760208e-02,3.196500603452039901e-01
5.904304307566980992e-01,1.193601364055411063e-01
5.587702094587262414e-01,1.709164704496143883e-01
3.808098899806231508e-01,1.601957860154710200e-01
3.715567158121088620e-01,6.837229641880104847e-02
4.048331460948169092e-01,1.310156010878550936e-01
4.796581666341832029e-01,1.214601098572959392e-01
4.642132201474029052e-01,1.607371653726111793e-01
6.154297543043933949e-01,3.393176511070707391e-01
