x,y
2.757377017679887507e-02,5.719910599193505085e-01
5.083637462769322046e-02,4.423167835315166552e-01
4.080068643563657810e-02,5.236019896744648072e-01
4.721762048488105379e-02,6.420761006751313227e-01
4.742496349745808221e-02,5.248908248925472364e-01
4.863478158192906936e-02,5.789778239229947943e-01
4.052177200665860179e-02,4.586652354885221161e-01
5.911154929296136978e-02,5.674633364645704781e-01
6.839680789187529975e-02,5.506361291375517775e-01
8.992267665257173970e-02,4.437626989949286505e-01
1.292041945102725964e-02,6.400291235455737304e-01
6.216581680988286784e-02,4.613086167247382186e-01
4.769626901587904061e-02,5.686131266351656111e-01
4.365403097006029243e-02,6.332697143165855191e-01
5.149121720343229069e-02,5.041827207041993386e-01
7.440999362305021625e-02,2.772667127707496015e-01
4.326407384316032639e-02,4.013863135392043979e-01
3.882545873675083414e-02,6.583916972536381085e-01
7.028833750759519439e-02,4.613319680267229939e-01
4.474781299793140210e-02,4.472957493684840413e-01
3.640344470898931872e-02,2.254824437014293359e-01
3.362618942997022686e-02,4.376322836276638206e-01
5.367878131867147296e-02,4.207776282655051325e-01
7.016469258578840462e-02,4.834287322059624414e-01
4.843932745853658794e-02,4.153192163613889099e-01
4.375556245596382010e-02,5.179608036347075339e-01
1.003516508420617126e-01,4.070841205458771150e-01
4.167571206626689145e-02,3.926907322094808084e-01
1.536949265335549319e-01,5.559900613964442462e-01
4.928510634874288393e-02,5.584127232856935796e-01
8.775841486253210810e-02,5.733665278720722069e-01
7.187360812031566570e-02,2.172595090158638276e-01
7.063715891395687396e-02,6.643032714161629659e-01
2.834417320020126904e-02,5.924527629839890785e-01
4.337773203258086380e-02,2.167136437929113590e-01
6.884478297639221034e-02,5.301830088321264345e-01
8.058582012254847382e-02,6.842243013638048543e-01
4.668499616963007331e-02,5.930059709696849923e-01
4.917358811095350057e-02,4.030340834573459818e-01
7.990410850089722794e-02,3.444029887256349620e-01
3.011015566197790608e-02,4.766197964252139596e-01
6.220505025915950420e-02,3.268252134686432386e-01
1.910482973549899877e-01,7.421183031769837957e-01
4.196413762444512613e-02,3.278959106117304567e-01
4.742805462324792276e-02,5.156140830682683918e-01
5.026118794652811167e-02,5.418570979494304884e-01
4.511565669213585261e-02,5.698511321281383157e-01
1.127499077118834098e-02,5.815873733802301437e-01
4.758879302909049119e-02,5.020835287941159963e-01
4.736813441053541046e-02,6.393081729911456179e-01
4.121394584699521191e-02,5.316346876557167533e-01
3.413337143191663703e-02,4.853659008707550404e-01
2.071004994646486602e-02,5.281397912811399697e-01
4.951598946244187976e-02,4.841575644335345263e-01
6.360485353557521204e-02,3.999658482354058742e-01
4.870445074838723742e-02,5.933898998575719563e-01
1.076447989363325114e-02,6.017418708688384577e-01
5.112670247480127078e-02,6.563956650803464132e-01
