x,y
4.167666797307836846e-02,4.197470351759059470e-01
3.859636226901412559e-02,4.195099493288613757e-01
3.672459461220889398e-02,4.220260401664914229e-01
2.175503678460834200e-02,5.619185477719323973e-01
3.291466261186005993e-02,6.338978817857172654e-01
7.047631913361404599e-02,4.894295040036235611e-01
1.040535941547917759e-01,3.899683814306100782e-01
9.553593969627721672e-02,4.069203598625366625e-01
9.679380441501968246e-02,4.068132879815454794e-01
2.693116138338689236e-01,4.287351547439245403e-01
2.674575074389229368e-01,4.097207679672787983e-01
2.758267074204908686e-01,4.237045739458592530e-01
2.732703441395222255e-01,4.341500017042224657e-01
2.647491844815896833e-01,4.153076596062794112e-01
2.765612257955900599e-01,4.040037783047418229e-01
8.126828380675001073e-02,4.116861444792928593e-01
7.149788526387476639e-02,4.122687294373449385e-01
5.861575459515513953e-02,4.131361669518974766e-01
6.992186300703870372e-02,4.113596461640161017e-01
7.136115497563361165e-02,4.204545663327908245e-01
7.462630316586373047e-02,4.148132996732833422e-01
5.380426409896900408e-02,4.277622289861410798e-01
2.037208948609509074e-03,4.239164862779844500e-01
0.000000000000000000e+00,4.482042335851159076e-01
5.448935447780098307e-02,4.187121484771473279e-01
7.196767160653907980e-02,4.078104449382362606e-01
7.709358190722540027e-02,4.033565746839788968e-01
1.072611250248503845e-01,4.033969913480502378e-01
1.083533344679755706e-01,4.030240720374904106e-01
1.035998893139929294e-01,4.138266081798854801e-01
2.661316677889993820e-02,4.246692258670697329e-01
6.259611750748560188e-02,4.754870254007879105e-01
5.741466280148296852e-02,4.936192674697696958e-01
1.403155293964694350e-01,4.207661285916103888e-01
1.361475463888252857e-01,4.251165087979524859e-01
1.282047847340215818e-01,4.175905842273399671e-01
5.401090169728643697e-02,4.172345696412165794e-01
5.749278063119825366e-02,4.162252969145366910e-01
5.982274153913721970e-02,4.130984539565755176e-01
1.152755342128118088e-01,4.115718695540159233e-01
1.068827836847371371e-01,4.189254527361894742e-01
1.296643509471815114e-01,4.134550784077349883e-01
1.716012158151936084e-01,3.990606712737583273e-01
1.688726334582000554e-01,3.945599623571505732e-01
1.656024467763788088e-01,4.135484005560556287e-01
4.177920363115801561e-02,4.162196177106640138e-01
4.545805975144372180e-02,4.060727196468456035e-01
4.300936034290485377e-02,4.049061273525161875e-01
2.306880233607335740e-01,3.161700040370562514e-01
2.424532949110675684e-01,2.379615974075168505e-01
1.443168512339504939e-01,5.547612594858768453e-01
1.624682973216515225e-01,4.176454385393840174e-01
1.720981906379238369e-01,4.278254642349521575e-01
1.485160875322678042e-01,3.977673250393778392e-01
7.808783263022980869e-02,4.345627234817618922e-01
1.090429993540407150e-01,4.317543559429338762e-01
8.687604873193888189e-02,4.071420057419872229e-01
9.152863497548126281e-02,4.064612760619648046e-01
