x,y
7.524154782295227051e-01,7.943800687789916992e-01
5.174816846847534180e-01,7.415885925292968750e-01
4.287086129188537598e-01,6.045693755149841309e-01
8.411341905593872070e-01,8.091516494750976562e-01
5.719815492630004883e-01,9.489053487777709961e-02
4.735357761383056641e-01,1.246547400951385498e-01
7.114298939704895020e-01,4.911269843578338623e-01
6.892902851104736328e-01,2.796723842620849609e-01
9.398509263992309570e-01,3.033533096313476562e-01
2.612299323081970215e-01,1.793881058692932129e-01
3.514341711997985840e-01,7.554104328155517578e-01
3.770464062690734863e-01,5.520432591438293457e-01
1.173433959484100342e-01,3.257651329040527344e-01
4.149423837661743164e-01,2.249005138874053955e-01
1.244160830974578857e-01,6.403355598449707031e-01
7.785204052925109863e-02,7.183154225349426270e-01
1.544152498245239258e-01,3.963734507560729980e-01
8.108538985252380371e-01,4.014238119125366211e-01
2.185013294219970703e-01,3.521065115928649902e-01
5.563805699348449707e-01,2.506112754344940186e-01
7.486227750778198242e-01,3.421846330165863037e-01
6.943050622940063477e-01,9.222793579101562500e-01
6.989371180534362793e-01,1.968076229095458984e-01
8.809137344360351562e-01,5.234321951866149902e-01
5.595069527626037598e-01,8.803231716156005859e-01
4.992448091506958008e-01,4.695998728275299072e-01
9.195854663848876953e-01,7.544223070144653320e-01
2.713697552680969238e-01,6.067467331886291504e-01
9.731225967407226562e-01,4.858056604862213135e-01
4.885926544666290283e-01,5.515244603157043457e-01
5.094912052154541016e-01,3.230327367782592773e-02
1.990833878517150879e-01,4.514712095260620117e-01
4.315539896488189697e-01,5.126253366470336914e-01
3.457061648368835449e-01,6.198741793632507324e-01
4.701380133628845215e-01,6.835842132568359375e-01
3.546539247035980225e-01,4.155378937721252441e-01
3.992432355880737305e-01,5.273085832595825195e-02
3.255007565021514893e-01,3.411890268325805664e-01
6.542447805404663086e-01,1.025944948196411133e-01
1.283910870552062988e-01,5.454590916633605957e-01
2.141185998916625977e-01,5.237070322036743164e-01
8.683121204376220703e-01,2.306157946586608887e-01
2.926102280616760254e-01,9.290375709533691406e-01
1.461761593818664551e-01,7.962676286697387695e-01
2.149763107299804688e-01,8.634413480758666992e-01
7.998738288879394531e-01,4.855879843235015869e-01
6.508778929710388184e-01,4.346572756767272949e-01
1.802149116992950439e-01,7.104829549789428711e-01
7.858774662017822266e-01,6.321861743927001953e-01
7.731302976608276367e-01,2.687477767467498779e-01
3.386634588241577148e-02,6.058763861656188965e-01
2.497043013572692871e-01,7.617241144180297852e-01
5.643688440322875977e-01,5.884851813316345215e-01
6.005674600601196289e-01,7.183075547218322754e-01
6.769013404846191406e-01,3.656893372535705566e-01
8.773589134216308594e-01,4.402042627334594727e-01
4.907811582088470459e-01,2.137742638587951660e-01
6.673042178153991699e-01,7.695291042327880859e-01
6.641891598701477051e-01,8.481293916702270508e-01
4.582412838935852051e-01,2.929199337959289551e-01
7.893513441085815430e-01,5.575491786003112793e-01
2.779656350612640381e-01,2.861407399177551270e-01
6.221704483032226562e-01,6.434180736541748047e-01
3.725785017013549805e-01,2.885723710060119629e-01
2.396113276481628418e-01,6.690317988395690918e-01
3.805339336395263672e-01,8.894671201705932617e-01
1.020686924457550049e-01,2.403999269008636475e-01
5.497084856033325195e-01,6.613712906837463379e-01
9.397015571594238281e-01,6.665381193161010742e-01
6.735032200813293457e-01,6.926540136337280273e-01
4.387868046760559082e-01,7.458307147026062012e-01
2.960907220840454102e-01,9.131407737731933594e-02
4.981282949447631836e-01,6.173843741416931152e-01
7.861343622207641602e-01,8.814042210578918457e-01
7.936577796936035156e-01,1.803819835186004639e-01
3.046418428421020508e-01,5.396335721015930176e-01
9.708601832389831543e-01,5.692353844642639160e-01
4.029702544212341309e-01,8.123649358749389648e-01
4.992851018905639648e-01,8.085738420486450195e-01
2.862939238548278809e-01,4.677180647850036621e-01
5.092642307281494141e-01,9.653172492980957031e-01
4.663727879524230957e-01,8.852208256721496582e-01
5.539913773536682129e-01,1.711423695087432861e-01
7.387633323669433594e-01,4.240063726902008057e-01
5.305287837982177734e-01,3.278842568397521973e-01
5.292471647262573242e-01,4.062992632389068604e-01
8.369412422180175781e-01,7.022109031677246094e-01
1.901015043258666992e-01,6.003851294517517090e-01
1.124825477600097656e-01,4.693720042705535889e-01
3.081629872322082520e-01,8.267980813980102539e-01
1.964232623577117920e-01,2.582977116107940674e-01
3.572427034378051758e-01,4.890993833541870117e-01
3.947258889675140381e-01,6.829128265380859375e-01
