x,y
7.876156568527221680e-01,3.622706830501556396e-01
5.329473614692687988e-01,8.085952997207641602e-01
4.619872570037841797e-01,7.956660985946655273e-01
5.370017290115356445e-01,5.132789015769958496e-01
5.970628261566162109e-01,5.443271398544311523e-01
9.271558523178100586e-01,3.972746431827545166e-01
2.835409045219421387e-01,7.699153423309326172e-01
8.632659912109375000e-01,3.897567391395568848e-01
6.084818840026855469e-01,9.591084718704223633e-02
9.738859534263610840e-02,6.968156099319458008e-01
5.474059581756591797e-01,7.096278667449951172e-01
3.387190103530883789e-01,3.463841080665588379e-01
6.840026378631591797e-01,4.136899411678314209e-01
1.654602587223052979e-01,2.821011543273925781e-01
6.354100108146667480e-01,9.841791987419128418e-01
6.261987090110778809e-01,7.171767354011535645e-01
2.836115360260009766e-01,5.713492035865783691e-01
5.059013962745666504e-01,7.073706984519958496e-01
8.676198124885559082e-01,6.886386275291442871e-01
2.372264862060546875e-05,4.716725945472717285e-01
2.772166430950164795e-01,1.364401578903198242e-01
2.615631818771362305e-01,4.561795294284820557e-01
9.901368618011474609e-01,4.348078966140747070e-01
8.829218149185180664e-01,6.750928163528442383e-01
9.360021352767944336e-01,3.305695056915283203e-01
1.514015793800354004e-01,2.615863084793090820e-01
2.316307425498962402e-01,9.312180280685424805e-01
7.633427977561950684e-01,4.990104436874389648e-01
5.892221927642822266e-01,7.237785458564758301e-01
8.200442790985107422e-01,5.783908367156982422e-01
1.776693761348724365e-01,7.778488397598266602e-01
7.024531364440917969e-01,6.601597666740417480e-01
8.252251148223876953e-01,6.804942488670349121e-01
6.542841196060180664e-01,3.077266216278076172e-01
2.634195983409881592e-01,5.535045266151428223e-01
9.372142553329467773e-01,5.021165609359741211e-01
3.673256635665893555e-01,5.211073160171508789e-01
5.686003565788269043e-01,3.774246871471405029e-01
8.465495705604553223e-01,5.618987679481506348e-01
3.681775033473968506e-01,4.759911596775054932e-01
2.824246287345886230e-01,2.098846733570098877e-01
3.366084694862365723e-01,3.393203020095825195e-01
9.198483228683471680e-01,7.575999498367309570e-01
7.239561080932617188e-01,5.612403750419616699e-01
5.980446338653564453e-01,5.440117120742797852e-01
4.395970404148101807e-01,1.868387162685394287e-01
4.483649134635925293e-02,5.785636901855468750e-01
5.758357048034667969e-01,6.511591672897338867e-01
6.367446780204772949e-01,4.965327978134155273e-01
5.733265876770019531e-01,5.439230203628540039e-01
6.849480867385864258e-01,7.469865679740905762e-01
2.847763895988464355e-01,3.417503237724304199e-01
7.010008096694946289e-01,2.374994456768035889e-01
6.436818838119506836e-01,4.143735766410827637e-01
8.378267288208007812e-01,1.591764688491821289e-01
9.194420576095581055e-01,4.182922840118408203e-01
5.824352502822875977e-01,6.389976739883422852e-01
