x,y
5.297748446464538574e-01,9.416146874427795410e-01
4.726937413215637207e-01,9.598755836486816406e-01
4.399096369743347168e-01,9.666055440902709961e-01
2.818011641502380371e-01,9.862298965454101562e-01
3.866919577121734619e-01,9.704874753952026367e-01
8.823396563529968262e-01,7.352807521820068359e-01
8.663395047187805176e-01,3.079153299331665039e-01
9.700615406036376953e-01,4.230796396732330322e-01
9.612782597541809082e-01,4.026778340339660645e-01
7.015669345855712891e-02,1.119972169399261475e-01
7.710078358650207520e-02,1.195466518402099609e-01
8.128520846366882324e-02,1.039010286331176758e-01
8.344578742980957031e-02,1.105341315269470215e-01
7.226058840751647949e-02,1.237545013427734375e-01
7.637879252433776855e-02,9.932073950767517090e-02
9.518470764160156250e-01,6.189749240875244141e-01
8.890152573585510254e-01,7.259816527366638184e-01
7.646288871765136719e-01,8.351615667343139648e-01
8.749759197235107422e-01,7.349220514297485352e-01
8.829916715621948242e-01,7.234839200973510742e-01
9.103723764419555664e-01,6.947077512741088867e-01
7.095074653625488281e-01,8.723911046981811523e-01
1.993431150913238525e-01,9.941151142120361328e-01
1.976828277111053467e-01,9.938337802886962891e-01
7.162567973136901855e-01,8.658175468444824219e-01
8.906949758529663086e-01,7.196422219276428223e-01
9.277137517929077148e-01,6.700892448425292969e-01
8.094207048416137695e-01,2.849040627479553223e-01
7.767195701599121094e-01,2.784391641616821289e-01
8.755347132682800293e-01,3.105171620845794678e-01
3.173218369483947754e-01,9.857865571975708008e-01
8.116101622581481934e-01,8.093293905258178711e-01
7.512574195861816406e-01,8.476965427398681641e-01
4.094077050685882568e-01,4.404027462005615234e-01
4.459104835987091064e-01,4.181382060050964355e-01
4.969796836376190186e-01,3.800501525402069092e-01
7.114809751510620117e-01,8.695783615112304688e-01
7.515389323234558105e-01,8.430042862892150879e-01
7.762737274169921875e-01,8.238687515258789062e-01
6.434487104415893555e-01,3.029589056968688965e-01
8.197497129440307617e-01,2.832346558570861816e-01
4.876439273357391357e-01,3.868363499641418457e-01
1.757761240005493164e-01,4.768980443477630615e-01
1.913910806179046631e-01,4.789021909236907959e-01
2.164843678474426270e-01,4.823245406150817871e-01
5.322932004928588867e-01,9.410997033119201660e-01
5.959218740463256836e-01,9.175817370414733887e-01
5.547815561294555664e-01,9.313904047012329102e-01
3.429192304611206055e-02,2.120830416679382324e-01
4.687997698783874512e-02,1.835147738456726074e-01
3.825338780879974365e-01,4.634675979614257812e-01
2.362750470638275146e-01,4.806574285030364990e-01
1.704423129558563232e-01,4.782746434211730957e-01
3.409470319747924805e-01,4.670086503028869629e-01
9.342725276947021484e-01,6.593124866485595703e-01
7.618348598480224609e-01,2.812719941139221191e-01
9.727921485900878906e-01,5.475915670394897461e-01
9.818589687347412109e-01,4.858330190181732178e-01
9.553747177124023438e-01,3.932345509529113770e-01
9.790949225425720215e-01,5.259191989898681641e-01
9.332513809204101562e-01,3.635149300098419189e-01
9.189418554306030273e-01,3.423255681991577148e-01
9.481691718101501465e-01,3.768720328807830811e-01
8.884931802749633789e-01,7.267051339149475098e-01
8.873056173324584961e-01,7.222299575805664062e-01
9.182842969894409180e-01,6.837430000305175781e-01
2.640977501869201660e-02,3.200654685497283936e-01
6.107783317565917969e-02,1.419094800949096680e-01
6.801128387451171875e-02,1.277868449687957764e-01
4.653109908103942871e-01,9.649075865745544434e-01
4.650136232376098633e-01,9.650084972381591797e-01
3.971730470657348633e-01,9.755693674087524414e-01
8.336685299873352051e-01,2.940133213996887207e-01
5.807438492774963379e-01,3.337256312370300293e-01
6.279978752136230469e-01,3.031951189041137695e-01
5.259692668914794922e-01,3.650561869144439697e-01
4.990358650684356689e-01,3.872421681880950928e-01
6.201224923133850098e-01,3.100237846374511719e-01
