x,y
9.999999999999998890e-01,9.999999999999984457e-01
8.864434370561414811e-01,9.999999999999996669e-01
7.728868741122845165e-01,9.999999999999988898e-01
6.593303111684272189e-01,9.999999999999986677e-01
5.457737482245695881e-01,9.999999999999991118e-01
8.959064839681297743e-01,9.999999999999995559e-01
7.823499210242725876e-01,9.999999999999994449e-01
6.687933580804151790e-01,9.999999999999993339e-01
5.552367951365577703e-01,9.999999999999992228e-01
4.416802321927004171e-01,9.999999999999991118e-01
7.918129679362605478e-01,9.999999999999996669e-01
6.782564049924031391e-01,9.999999999999995559e-01
5.646998420485459524e-01,9.999999999999995559e-01
4.511432791046885438e-01,9.999999999999994449e-01
3.375867161608311906e-01,9.999999999999991118e-01
6.877194519043913212e-01,9.999999999999998890e-01
5.741628889605340236e-01,9.999999999999996669e-01
4.606063260166766704e-01,9.999999999999995559e-01
3.470497630728192617e-01,9.999999999999995559e-01
2.334932001289619641e-01,9.999999999999993339e-01
5.836259358725220947e-01,1.000000000000000000e+00
4.700693729286647415e-01,9.999999999999996669e-01
3.565128099848073884e-01,9.999999999999997780e-01
2.429562470409500907e-01,9.999999999999995559e-01
1.293996840970926265e-01,9.999999999999995559e-01
9.676500789757259691e-01,9.999999999999994449e-01
8.540935160318685604e-01,9.999999999999993339e-01
7.405369530880112627e-01,9.999999999999991118e-01
6.269803901441539651e-01,9.999999999999991118e-01
5.134238272002965564e-01,9.999999999999988898e-01
8.635565629438567425e-01,9.999999999999995559e-01
7.499999999999993339e-01,9.999999999999994449e-01
6.364434370561419252e-01,9.999999999999992228e-01
5.228868741122846275e-01,9.999999999999991118e-01
4.093303111684272189e-01,9.999999999999991118e-01
7.594630469119874050e-01,9.999999999999995559e-01
6.459064839681301073e-01,9.999999999999995559e-01
5.323499210242726987e-01,9.999999999999994449e-01
4.187933580804154010e-01,9.999999999999993339e-01
3.052367951365580478e-01,9.999999999999991118e-01
6.553695308801181785e-01,9.999999999999997780e-01
5.418129679362608808e-01,9.999999999999996669e-01
4.282564049924034721e-01,9.999999999999994449e-01
3.146998420485461190e-01,9.999999999999994449e-01
2.011432791046887658e-01,9.999999999999993339e-01
5.512760148482489519e-01,9.999999999999998890e-01
4.377194519043916543e-01,9.999999999999997780e-01
3.241628889605342456e-01,9.999999999999995559e-01
2.106063260166769480e-01,9.999999999999994449e-01
9.704976307281948378e-02,9.999999999999994449e-01
9.353001579514526043e-01,9.999999999999994449e-01
8.217435950075953066e-01,9.999999999999993339e-01
7.081870320637380090e-01,9.999999999999992228e-01
5.946304691198807113e-01,9.999999999999991118e-01
4.810739061760233581e-01,9.999999999999991118e-01
8.312066419195833777e-01,9.999999999999995559e-01
7.176500789757260801e-01,9.999999999999994449e-01
6.040935160318687824e-01,9.999999999999993339e-01
4.905369530880114848e-01,9.999999999999992228e-01
3.769803901441540761e-01,9.999999999999991118e-01
7.271131258877141512e-01,9.999999999999996669e-01
6.135565629438568536e-01,9.999999999999996669e-01
4.999999999999995004e-01,9.999999999999995559e-01
3.864434370561422027e-01,9.999999999999993339e-01
2.728868741122847386e-01,9.999999999999993339e-01
6.230196098558450357e-01,9.999999999999997780e-01
5.094630469119876270e-01,9.999999999999996669e-01
3.959064839681303294e-01,9.999999999999995559e-01
2.823499210242729207e-01,9.999999999999994449e-01
1.687933580804156786e-01,9.999999999999991118e-01
5.189260938239756982e-01,1.000000000000000000e+00
4.053695308801184005e-01,9.999999999999997780e-01
2.918129679362609918e-01,9.999999999999996669e-01
1.782564049924036942e-01,9.999999999999995559e-01
6.469984204854634102e-02,9.999999999999994449e-01
9.029502369271794615e-01,9.999999999999994449e-01
7.893936739833222749e-01,9.999999999999993339e-01
6.758371110394648662e-01,9.999999999999992228e-01
5.622805480956074575e-01,9.999999999999991118e-01
4.487239851517501599e-01,9.999999999999990008e-01
