x,y
1.308250188963273331e-01,6.063666255466453325e-01
1.137768488795229543e-01,3.664684365916273112e-01
1.795231167068017109e-01,2.469223996593279957e-01
1.313260785031627742e-01,4.768825888874518304e-01
2.082606841017724253e-02,4.266424282350169128e-01
3.641663413662048210e-02,2.844253379727338937e-01
1.789390527809736620e-02,3.528627179992886997e-01
2.375577234385463365e-02,3.935634459236059812e-01
1.310008182679898991e-02,2.846647846379933844e-01
1.040091687402042164e-02,3.391754290071533617e-01
3.191582731436336251e-02,2.617210703911895253e-01
3.436519266798895855e-02,3.479584296763392759e-01
8.280401337823681263e-02,3.744634020432234811e-01
5.820355366040962097e-02,4.798203429545448429e-01
3.764258430502714914e-02,3.972489905359777862e-01
6.016003232623118313e-02,4.928964318202611050e-01
2.526143258801226421e-02,3.962264738876167813e-01
4.288556671158591516e-02,4.981632531658203855e-01
1.894938055714998626e-01,7.167101252084652208e-01
3.878892658928026482e-02,8.359520926700138022e-01
6.447853281128711200e-02,3.176832843570134290e-01
6.207200337184065608e-02,0.000000000000000000e+00
1.261866382491666494e-02,3.419609177069717898e-01
5.275556679096719825e-02,3.991202831177106392e-01
3.543432726417160561e-01,4.507710890308521678e-01
7.944457930720971728e-02,4.094207829812033239e-01
5.152292604495785355e-02,2.123934766731753743e-01
2.446815358160292497e-02,3.890075358805487604e-01
5.712218765423572597e-02,6.985181951968923997e-01
4.821787769866879569e-02,1.621960297057538081e-01
5.689462477524544204e-02,4.973856788445066290e-01
1.422374474833655866e-01,2.854443901295429242e-01
1.024915447014516090e-01,4.713109438936657902e-01
1.414744078844765440e-01,6.321588290124395826e-01
2.856244882611219671e-02,3.784805670874361594e-01
4.338270940587565794e-01,4.082325623221816357e-01
9.583833686656684225e-02,2.784533569952223342e-01
5.772785379454387078e-03,1.490880845437705382e-01
1.042785106635147063e-01,5.439506118309417326e-01
1.213349103668499573e-01,3.404151301885310898e-01
2.037424670335560295e-01,6.007197547897764611e-01
1.483905194853726295e-01,3.885402869974473594e-01
4.403816598112955671e-02,6.986041955770342371e-01
4.338196292207463500e-02,5.414328048438818985e-01
5.222113842843391363e-02,3.715351942527666540e-01
3.215705040442735918e-02,3.422698407257077635e-01
1.321571429179929646e-02,2.983409639844468719e-01
1.665594545342373722e-01,2.178280063986045290e-01
3.519953029569862502e-02,4.686573143891328841e-01
1.225536390892079663e-01,1.381930650808131378e-01
4.685959062230686534e-02,4.560204679054492560e-01
3.172619370849608100e-02,3.709327521103567560e-01
3.447497435746490480e-01,2.540203189151896135e-01
1.226220834110607893e-01,2.041079398549588975e-01
8.771301964285457831e-02,2.485245809901453495e-01
4.813644787125931357e-02,3.791590627950661707e-01
5.962410849215456221e-02,5.239300792988685895e-01
5.066356552884306030e-02,2.315203211923226867e-01
1.216267005865967615e-01,3.798273251095594105e-01
7.660006312896686098e-02,3.527602005333377866e-01
9.661091273782754230e-02,1.946308888386351632e-01
4.361544496699681916e-02,4.336862606859434033e-01
8.206778870815861771e-03,2.838708615425934445e-01
1.968115787998003796e-02,2.642347934131983322e-01
9.423135175891864113e-02,4.199019223502836740e-01
6.345682985792337749e-02,4.795349323078139658e-01
2.051991543155741449e-02,3.928225436464454767e-01
7.172783606949580115e-02,2.470734671640924807e-01
4.212455144927375328e-02,4.700509854998731196e-01
3.315061345985512165e-02,3.592002851797182483e-01
1.921495838255319333e-01,3.270231462298403557e-01
1.235003004562530704e-01,3.784321607284256150e-01
2.900576241906178965e-02,3.904988378331952781e-01
8.151694024037081654e-02,4.424636111611437994e-01
4.136914129123155093e-02,2.779309359683416192e-01
1.311035342181468555e-01,4.859368084379010466e-01
5.485437834547017832e-01,4.918196341204750244e-01
1.013023307775480775e-01,4.265426933992273462e-01
3.277395892665309340e-02,2.879169073648836230e-01
1.049997066719889072e-01,4.818688659415772957e-01
2.349365536202143723e-01,6.614861887098359983e-01
1.706206230632083543e-01,2.276290826887045482e-01
8.320386864303840058e-02,6.824487034027209020e-01
7.613360517978903785e-02,3.047681374439424329e-01
1.000000000000000000e+00,1.151581577551074598e-01
9.952837497761082841e-02,2.080277245245139017e-01
2.038051664568110710e-02,3.824191113406558706e-01
3.345224650756482843e-02,5.035599077604292484e-01
2.098996725633002491e-02,5.437154427829367087e-01
8.623381318564375675e-02,3.947516368183880964e-01
5.777253559889006240e-03,2.321892136134073303e-01
1.255695024598082743e-01,4.053544145711122093e-01
3.978512542472559255e-02,3.821935122413942509e-01
8.505356509803924103e-02,3.499930300438925390e-01
7.890981419400450170e-02,2.415891426147195598e-01
1.881447585610501183e-01,3.174027480938539370e-01
3.478679732590264084e-01,5.191847117546942725e-01
1.164205085335287687e-01,3.592600647935438873e-01
8.339619945892681740e-02,4.602504097571080699e-01
7.758591499142394876e-02,3.151780155021428609e-01
2.555879337000967477e-01,2.867187571218540176e-01
2.942110899737203356e-02,3.648855719130889019e-01
3.886737101199511102e-02,5.473219332839593942e-01
5.012358705465946862e-02,6.429425120132230553e-01
5.171437506456914857e-02,1.118993599487702606e-01
1.046560827610609201e-01,5.016794287685735210e-01
7.373503839650510927e-02,7.629868134088715337e-01
3.030687149718325202e-03,3.769465542179681328e-01
1.788252117275780373e-01,7.219156803846877857e-01
4.441352839178865086e-02,4.909885479110891460e-01
7.639384867278203872e-02,5.591630309157592515e-01
4.913773509191729505e-02,1.717859035004574431e-01
5.836765555609486900e-02,5.096206975338438694e-01
5.961515882001933164e-01,5.423171007487150863e-01
5.600007494875269831e-03,3.971620865586362736e-01
5.356605964615329674e-02,1.496885567538182582e-01
3.324960614706623518e-02,3.327364700337326342e-01
7.429346936038783156e-02,5.889417210483608445e-01
3.492282509756915176e-02,3.028175580718905358e-01
1.688171079926413243e-01,2.744244799513568811e-01
7.708810465516707788e-02,6.915526625805568095e-01
4.979652814137688899e-02,9.889701238457224708e-01
6.830795984324826431e-02,4.668901167194325352e-01
1.150983422519368665e-01,6.149819099825479807e-01
3.229562381896627921e-02,3.913373233079070479e-01
1.587199637854034839e-01,4.220368656436605526e-01
2.758353396879509312e-01,2.385013048010444503e-01
2.779312212514517544e-02,2.004548521192835997e-01
6.259751357783571724e-02,4.484069874472655370e-01
1.008084878047532384e-01,3.697677819911791564e-01
5.605046967319428364e-02,3.557468742829781316e-01
3.912240225572656827e-01,4.277574631543680783e-01
5.993854417385362510e-01,9.749553080886780299e-02
2.339315801765527725e-02,3.247412801771036306e-01
3.131300436142385457e-02,1.866579400328430005e-01
6.657196335365997419e-02,3.601644826342474404e-01
6.525968482800358073e-02,3.009740159626185796e-01
3.747004025626973212e-01,3.464022085551639596e-01
2.319232877977413232e-02,3.258379302532322663e-01
9.123330886183082800e-02,3.228902465417013978e-01
4.916702117277609030e-02,3.609372202171925448e-01
1.292638725987092230e-01,3.344117170331510902e-01
2.709934980907857671e-02,2.409191304653393595e-01
1.787238201951595884e-01,4.469843578757100033e-01
1.688231416489943959e-01,4.085219044914363828e-01
3.031627706212421391e-01,3.118863836857720950e-01
5.894422597414200604e-02,3.469301373678073674e-01
3.550600315403474871e-01,2.446186974372092648e-01
1.291562709981377011e-01,5.117866092060466832e-01
5.566717798019431285e-02,3.557531235665103986e-01
2.272864407602789849e-02,1.248555467006002284e-01
2.563985985623419284e-01,2.861121307111976209e-01
2.344429025052860438e-01,1.409056358063818792e-01
3.040738569814348535e-01,4.290227987355753059e-01
1.857688318806826056e-01,5.522048237635107659e-01
1.854466817826757874e-01,6.580085586426843713e-01
5.280530147831555277e-02,4.348531878855728672e-01
2.281547414352425585e-01,5.837091380042203070e-01
4.475439952098199392e-02,2.434476023697560720e-01
1.026626827850032342e-01,2.934817813422989641e-01
1.472927387119234433e-01,4.570189480414850736e-01
3.231801521047905634e-02,2.872226739984777844e-01
9.653444903426564028e-02,3.510378159050616675e-01
3.352534604310209443e-01,4.531663701881495920e-01
4.488967127975186377e-01,5.499917632426734038e-01
2.584246080217706409e-01,5.195796098507161620e-01
9.983914923243814021e-02,6.696116614453699878e-01
2.554481534348781446e-01,1.470377040611604569e-01
6.333238969890785108e-02,3.456178054811769318e-01
