x,y
2.393585711336786992e-01,4.552923823139005677e-01
8.712564217206320016e-01,6.999240778171603727e-01
7.999832699239393108e-01,5.142043874802680881e-01
7.801799378781545391e-01,6.594461976483623200e-01
6.035917148381465536e-01,6.565688620286680433e-01
8.155930035952746460e-02,2.861892100373416015e-01
6.514679864946849586e-01,5.180314544091969564e-01
1.430780696716647538e-01,3.571150422777203404e-01
3.249349738906518459e-01,4.220004678015223387e-01
8.617095477173217777e-01,5.995596572185540873e-01
6.337179886539874296e-01,2.615337049546985204e-01
7.580371184080361147e-01,3.288945470740690102e-01
8.011276870654806537e-01,6.678361442200941855e-02
7.426536436749664460e-01,1.325738729342404443e-01
6.336064307356003011e-01,2.231332284720476122e-01
2.797569481529121882e-01,2.598700640471910961e-01
9.437192704701529156e-01,4.856281935853011267e-01
6.819916166854022022e-01,4.938215678550699206e-01
6.336927522883883945e-01,6.526385953387675576e-01
6.757374304774081963e-01,4.638543750186077119e-01
2.842947539143139135e-01,3.104103008591088120e-01
2.231759170873115483e-01,2.601867173969572011e-01
8.582815539669168547e-01,4.541612928307076080e-02
6.584722101342915801e-01,1.212796953919797749e-01
9.338757847020697778e-01,2.866343844960013154e-01
7.183158224252114143e-01,6.096795612894294614e-01
6.300036400950442816e-01,1.294842739293887157e-01
3.686381936113585778e-01,1.586838435991849150e-01
2.242003980189609114e-01,2.336347138260585488e-01
8.056267414442093155e-01,5.937896187648961099e-01
4.351798649241949146e-01,2.817976457252919786e-01
4.325498788935324690e-01,2.987046986704877116e-01
2.822309846451895865e-01,2.305934130813278582e-01
4.896993750228784692e-01,3.280308381001090234e-01
2.293979308864419475e-01,3.318619268380262333e-01
7.798879469117390162e-01,6.841527022678677294e-01
8.032281553200710800e-01,6.224583764871587377e-01
2.711467912802227875e-01,5.121143927604396850e-01
7.529136238953538784e-01,2.741893630342344679e-01
3.448673170994476234e-01,2.845156789955688437e-01
3.521375858766107037e-01,4.661390026808918674e-01
8.819499490832580779e-01,1.186768034130125660e-02
9.196087385999563990e-01,1.244253969852773256e-01
6.918368830245111845e-01,1.729682083817226934e-01
3.430328939824137113e-01,3.072159996329597020e-01
2.573131007906728218e-01,3.346924775418833597e-01
4.622887090427091894e-01,2.737682365805597096e-01
8.243149928855233455e-01,0.000000000000000000e+00
2.877034416983457188e-01,2.571311243246348632e-01
2.830761701261403362e-01,1.900341733528746191e-01
4.256795426015040906e-01,1.377836237633918715e-01
9.713179454291461790e-01,4.094467007836887773e-01
7.181221477027568412e-01,5.976139098905621783e-01
5.148674088277652716e-01,1.830582690893730602e-01
5.907968845520017442e-01,4.506533584805257342e-01
1.202542218712525091e-01,4.506976922183045797e-01
7.913245166825315646e-01,3.366394027049963711e-01
6.272501014548219622e-01,5.742683732770260674e-01
1.397727988361226470e-01,2.901468685350838128e-01
9.658433002993134231e-01,3.574636311000961575e-01
7.846907813275747490e-01,7.153570732384745279e-01
1.159171210973249933e-01,3.673899828029403292e-01
8.916709084403849905e-01,1.625767149238740161e-01
1.717259351616106100e-01,3.629176998978660973e-01
3.160473026312231037e-01,2.767807542893445105e-01
2.279968633819715040e-01,3.393493197675847561e-01
8.323482361178146105e-01,5.616289068224293857e-01
4.086481949870803820e-01,4.152920434439109632e-01
2.058106925812648313e-01,3.779432924818084683e-01
2.574148278138205237e-01,2.860944387407472478e-01
9.000134605483818273e-01,2.797912737935513983e-01
9.484697948096819653e-01,5.142604900687138825e-01
3.719725448182940042e-01,2.834945467659182317e-01
3.725888122812238690e-01,2.752805783005587981e-01
1.393962122633016776e-01,2.710822578937436833e-01
1.440755882913324348e-01,3.359336774850162910e-01
3.680363054201846174e-01,1.649562273058570172e-01
8.391486838832442618e-01,2.003475264660128929e-01
4.901471099071977311e-01,3.108763256335893010e-01
6.300036400950442816e-01,1.294842739293887157e-01
2.261473390472852896e-01,2.104671278855221872e-01
9.672925620481147568e-01,3.360773661052564587e-01
2.292958820354126237e-01,3.187342666976908934e-01
3.402821414834018565e-01,1.664211568334482694e-01
4.064655157066675573e-01,2.801821042443213283e-01
4.920275391918858543e-01,2.488317744906317075e-01
2.585664997403430698e-01,2.757952027078908186e-01
5.539128865771781873e-01,2.900701775624780487e-01
3.306495937224200876e-01,4.653665759782906197e-01
2.383466732422539480e-01,4.784153318652908382e-01
2.526085826187981498e-01,2.667159505529037578e-01
8.819011611848640575e-01,3.965173267208014218e-01
2.953359177765739751e-01,4.597606434099853479e-01
6.282917433889667613e-01,2.004693690735066258e-01
8.962981800125903176e-01,2.296736658956342325e-01
7.572648040988010365e-01,7.449678796050054341e-01
7.149033899496783917e-01,1.456921431466252637e-01
3.610116042206508169e-01,5.265508719566824869e-01
3.804795912974517913e-02,5.600840163777264236e-01
3.330468117490978930e-01,5.700728286734737527e-01
3.282332144611742053e-01,5.338017655464726285e-01
8.215290756711696174e-02,3.189571102144360126e-01
3.235860108420068881e-01,4.272423293505931974e-01
3.006919467069449903e-01,4.751122792716444554e-01
2.053880998407893732e-01,3.982229123460350739e-01
6.942775326782834044e-01,2.905113244007188622e-01
1.670925653012341749e-01,2.587220498010266989e-01
8.147432224090979114e-01,2.816174930600538473e-01
3.754481444639767851e-01,3.608907337705348772e-01
2.945654970067893563e-01,4.570924831154971613e-01
8.278283177152756522e-01,7.709224038281636826e-02
4.860999009397540260e-01,6.167859985564625447e-01
1.451000692229817979e-01,3.093816739141176386e-01
4.432493130146544225e-01,4.622059601877285262e-01
1.399981004544756380e-01,2.648098741870716921e-01
6.014308611441460117e-01,1.421799152277729017e-01
5.236242726926529922e-01,3.190334919785903778e-01
8.006529898691798763e-01,8.930876566672368844e-02
9.613468361216492841e-01,2.996111707512965072e-01
2.911186559046183286e-01,3.758131265935056864e-01
6.303731964028457257e-01,1.933820085730424410e-01
5.909654171306124582e-01,4.595939024816860230e-01
2.907564486035532081e-01,3.548069311934782255e-01
1.148635878103371200e-01,3.791635382913385865e-01
8.089430749940755838e-01,2.764120927498328051e-01
4.340527896285510945e-01,2.995273600135827108e-01
8.289799896417981984e-01,6.679300434995988356e-02
5.758145930226319376e-01,2.808277732374715452e-01
7.763069818575952796e-01,2.112247401239031874e-01
2.540807984347668302e-01,2.230094345154854940e-01
9.216581285973248772e-01,2.061838695217456108e-01
3.967072230106175046e-01,1.537349054630147149e-01
9.457794233396094041e-01,5.724533582781636820e-01
3.419913462700240325e-01,2.867850060547031954e-01
2.870871742354157430e-01,2.653450927899942968e-01
2.968746173201239902e-01,4.118670112333919775e-01
2.335214248909531221e-01,3.636414996304040970e-01
1.483072294350440412e-01,4.179396095428086211e-01
4.035775593026458274e-01,3.146559803701104441e-01
1.165793947279090692e-01,3.198317838320141604e-01
4.914112717289559340e-01,2.570457429559911411e-01
3.955034466282694172e-01,1.662796728763586973e-01
