x,y
2.148144970221768646e-02,1.000000000000000000e+00
0.000000000000000000e+00,2.153080078590466351e-01
5.200446672184749763e-03,3.490001512783208470e-01
6.886364930865584988e-03,3.205859517704164885e-01
9.993650463226588787e-03,4.349056802409984601e-01
2.002939891116509163e-02,6.275713293503308865e-01
1.356031418580941339e-02,3.531763243718966105e-01
1.533963038574140403e-02,3.109422585724452848e-01
3.340273682687958101e-02,8.078898411726864737e-01
2.419401292768272316e-02,3.449544455331497450e-01
3.081353134412703754e-02,4.030757019802424512e-01
2.569255462455169448e-02,2.223890683062015872e-01
3.052053173992749779e-02,4.008750821367567108e-01
2.842300948838458186e-02,2.856450990703869874e-01
3.051902785564322707e-02,3.540983186357955503e-01
3.212435099958421691e-02,3.729564241365019850e-01
3.214173749085522114e-02,2.873118659495018656e-01
3.210520925904070122e-02,2.865805664422951260e-01
3.527283110800782939e-02,3.517762013255265052e-01
3.474291055549144636e-02,2.910937882884039318e-01
3.709787757686910936e-02,3.316767504276848522e-01
4.008966709645914173e-02,3.998961635383869173e-01
4.248710492490903601e-02,4.726405150923188025e-01
3.815678803515917816e-02,3.226108684990195430e-01
3.327807784021344362e-02,1.056269846954938085e-01
3.689227818966761552e-02,2.371063262932196214e-01
3.690276693793251295e-02,2.349183861899750703e-01
4.260539768167206920e-02,4.065843710605642758e-01
4.606164707984941598e-02,4.368510525343445861e-01
4.173056521691223542e-02,2.688222382376198594e-01
4.280464174591683268e-02,3.162305914671212914e-01
4.523134694292235691e-02,3.622793285608708058e-01
4.531081446038973115e-02,3.709465436707430896e-01
4.347199362281409241e-02,2.975837233839517815e-01
4.232512564052859361e-02,2.566782072840373408e-01
4.154571928832620498e-02,2.496074851595251054e-01
5.054144393461271201e-02,5.066740520786040536e-01
4.754480399726027096e-02,4.012942827219184716e-01
4.432819994072376146e-02,2.863296831044029878e-01
4.828648683549080500e-02,3.930305955363060377e-01
4.725499375588335105e-02,3.029315911990426713e-01
4.875692476692608524e-02,3.205456081486263709e-01
5.475585137284530446e-02,5.272074259243413330e-01
4.949942757705483309e-02,3.006670930340239467e-01
5.199655644315061276e-02,3.883734259710266978e-01
5.106944846212838063e-02,3.557026060121828981e-01
5.134233665832813043e-02,3.665492017752975951e-01
5.143137932470084883e-02,3.353309908544814255e-01
4.892348355332387655e-02,2.362655628491102666e-01
5.874013890837041785e-02,5.496955059958787970e-01
5.432829366371946800e-02,3.892011471950806434e-01
5.600681021255934922e-02,4.418918034510031512e-01
5.033036376111815757e-02,2.364711349457783995e-01
5.207183435962987883e-02,3.128972325857030112e-01
5.653188083731226776e-02,4.117862618702006761e-01
5.309359789062918777e-02,2.931491402080786401e-01
5.564220210031091407e-02,3.466489950007532461e-01
6.310379741828331390e-02,6.197229055037857259e-01
5.600401172959168505e-02,3.175137132451762989e-01
6.712117450034547905e-02,6.748564050352289234e-01
5.535322886199520176e-02,2.569237432302071134e-01
6.835528449213369717e-02,6.727663311982120531e-01
6.653826459069092647e-02,5.230778074227881991e-01
6.412258864357903154e-02,4.253850034279731407e-01
6.658473832578866436e-02,5.030840029921809231e-01
6.367668124829317655e-02,3.877186665803848964e-01
7.170056203653715765e-02,6.681972206164021877e-01
6.253755175861648585e-02,3.265274434584479746e-01
6.494083005645977236e-02,4.136165153381690107e-01
6.338175422223653321e-02,3.111919037729414805e-01
6.052451165439222402e-02,1.790921279748866057e-01
6.280990251151118142e-02,2.698353471952921190e-01
6.521696190472286991e-02,3.488504541488098298e-01
6.329650226844743544e-02,2.730203985535951672e-01
6.333206663441739992e-02,2.733712863013061378e-01
8.059302028717620081e-02,8.484218719675509224e-01
6.723711888349998000e-02,3.781047308946493546e-01
7.012358720351245800e-02,4.329562450754093073e-01
7.087129015837650980e-02,3.803840735743850843e-01
8.597162207325834138e-02,9.052827647310985881e-01
6.778806449478222418e-02,2.682231994683410559e-01
7.541684334758820552e-02,5.041989191144722326e-01
6.950812021721132494e-02,2.886542166702020795e-01
6.970528017403161691e-02,2.893540666416380969e-01
7.241689588855733384e-02,3.832162462528932445e-01
7.326895843198513725e-02,3.800544517951056633e-01
7.386396979447056033e-02,3.574434075908699548e-01
7.529358561794428917e-02,3.613992035626664157e-01
7.720118454072222303e-02,4.210505590081102811e-01
8.029760149677127312e-02,5.348983616452616108e-01
8.238976930557191658e-02,5.706205038379972283e-01
7.913750574293415552e-02,4.493845711608657756e-01
7.471707211323078135e-02,2.876011315963377113e-01
7.212106164806229847e-02,1.579653913451720126e-01
7.672481401636568887e-02,3.277153311528817059e-01
7.446327495966945098e-02,2.491667764601313007e-01
7.479970979718711388e-02,2.491848977284671085e-01
7.623569254860555755e-02,3.106576028111769361e-01
8.409273123394664373e-02,5.412473231096146531e-01
7.716612393560884353e-02,2.931804668876380471e-01
8.262873775551581035e-02,4.622646420139329138e-01
8.128456936411301847e-02,3.902748009383870120e-01
8.750293390179372799e-02,5.846084117582530659e-01
8.092487314388209507e-02,3.447303783665522925e-01
8.406524138989221462e-02,3.718361768263083178e-01
8.416992006402100601e-02,3.356781523344594120e-01
8.538066464471245898e-02,3.870791239660121841e-01
8.661916538209601946e-02,4.192917196225405263e-01
9.309684126452444364e-02,5.978117985367089604e-01
8.623254511971017999e-02,3.555543841537792682e-01
8.706172917919385856e-02,3.689238615564570667e-01
8.699744217937742385e-02,3.569060779761114022e-01
9.058370354248168610e-02,4.277175561718760122e-01
8.687535265165016729e-02,3.061744693270074813e-01
8.930252269806640553e-02,3.404398264749336489e-01
9.397935895149080177e-02,4.750364219122606424e-01
9.025688565238786099e-02,3.310259943454912923e-01
9.077154539702626812e-02,3.079098559849604566e-01
8.808832534165868255e-02,2.056988116704344671e-01
9.071028907101952310e-02,3.062100610929703315e-01
9.975748379639520769e-02,6.307151742514121029e-01
9.462972464014873797e-02,3.570995427879237738e-01
9.457278663153359521e-02,3.591245242829038120e-01
9.542187109134050993e-02,3.884166197705787860e-01
1.100719640494450119e-01,9.156275517265646258e-01
9.579195318556724126e-02,3.592675879740307998e-01
9.543072172209147996e-02,3.010253509161190388e-01
1.002962061607113042e-01,4.747043140568074637e-01
9.667464728215958980e-02,3.466039982816163656e-01
9.850985992876856723e-02,3.251073736861794794e-01
9.704794526215596018e-02,2.762478834101201874e-01
9.927645507487886656e-02,3.460722252757983952e-01
1.043631498802211482e-01,5.324284837602218934e-01
1.027104358176531285e-01,4.684533220289178734e-01
1.015389922680010604e-01,4.348397563329532423e-01
1.004497066246540227e-01,3.872374435469554954e-01
9.663630236413675578e-02,2.229941793393080685e-01
1.046186715352327851e-01,4.977174976287760400e-01
1.117555602359659034e-01,7.173308930371761205e-01
1.047721271642360619e-01,4.630646985556510775e-01
1.072516858494247105e-01,4.165877784809430273e-01
1.031818705916639073e-01,2.515952347964968139e-01
1.043491436234336711e-01,2.741070872051986074e-01
1.082204490686509563e-01,4.214167742061099009e-01
1.151677100486993427e-01,6.692390938079831875e-01
1.170789448660387311e-01,7.344429646213064267e-01
1.078192035030049734e-01,4.017033878551035664e-01
1.060402723845805389e-01,3.318988112667938806e-01
1.189212691774678143e-01,7.826745613052420447e-01
1.160385516159145314e-01,4.790828158486963306e-01
1.174288261440102621e-01,5.331880312181971338e-01
1.149793489549366388e-01,4.480033247938882690e-01
1.126869193360376109e-01,3.705495461856582184e-01
1.130832869987415529e-01,3.823585211802758566e-01
1.238881917953633394e-01,7.593759462679574579e-01
1.135386618916536944e-01,3.895289000744700525e-01
1.121820062113849659e-01,3.334051607556457464e-01
1.162421094402613930e-01,4.917509288501645814e-01
1.165067566266776017e-01,4.935232000562794208e-01
1.116588330053497058e-01,3.139688241213355324e-01
1.171501266126425272e-01,4.739832423590065735e-01
1.105412243294432162e-01,2.403392218060401986e-01
1.164961468374500486e-01,4.486405848312532418e-01
1.217411777435282588e-01,5.588398196852659705e-01
1.271419074022547835e-01,6.726054341415519389e-01
1.206801582297157144e-01,4.386224549828587893e-01
1.226337254134463872e-01,5.021724821091956281e-01
1.241942014210750123e-01,5.585368784844788603e-01
1.254905614955819093e-01,6.000959028724613953e-01
1.194320103789897891e-01,3.810023369908073221e-01
1.244043155207064516e-01,4.808400172459835198e-01
1.249511126081285783e-01,4.125434812626579406e-01
1.355643654236843298e-01,7.838990286910014760e-01
1.234697169948592577e-01,3.112217755922484508e-01
1.293780258590339904e-01,5.235164273619830055e-01
1.203198826710598079e-01,1.985126945917883023e-01
1.290494855422267551e-01,5.154886434962294706e-01
1.210697982813203621e-01,2.274381843299849437e-01
1.230262165967963561e-01,2.954815608801040216e-01
1.256937055230369915e-01,3.508073137692473420e-01
1.264358556445070447e-01,3.754976247159412250e-01
1.301269594618120196e-01,3.770062074120696938e-01
1.308769945257479694e-01,3.554582289058777489e-01
1.347939424468137526e-01,5.106866102189027146e-01
1.347407059373787741e-01,5.009741546926440581e-01
1.330059940400292740e-01,4.367195863057050653e-01
1.292027589224540307e-01,3.020207751138761498e-01
1.395047072525874010e-01,6.646038982889290736e-01
1.442769134774164186e-01,8.395865281928349688e-01
1.308569212228351264e-01,3.637417676040546333e-01
1.371580304693501562e-01,5.062023479440956875e-01
1.381662927664117357e-01,5.399146255117546200e-01
1.486149927243061164e-01,7.835565813847973349e-01
1.378030423449722597e-01,3.973236732891763934e-01
1.331164260050428094e-01,2.320761288681606194e-01
1.421222689429224584e-01,5.425222241203188078e-01
1.473377482573227648e-01,6.925458004702050863e-01
1.359776900981601866e-01,2.862650985598858000e-01
1.471361870258638960e-01,6.884410778635371431e-01
1.476061925178714651e-01,6.584054054418240209e-01
1.467883347939619443e-01,5.811666811817675082e-01
1.424106619697620146e-01,3.806931968293360002e-01
