x,y
1.391963953188748160e-01,3.454777164881079332e-01
1.386476593954126535e-01,5.107157297419961939e-01
1.396226268173756113e-01,5.109597320746570581e-01
1.572309956663703601e-01,4.429786532368731322e-01
1.515544997707147235e-01,4.693416818722883077e-01
1.526555745349059967e-01,4.574548459800870104e-01
1.594390894991733476e-01,4.625209565452018112e-01
1.628902893215081471e-01,4.506751721296666791e-01
1.735237297234803466e-01,4.724896134769445699e-01
1.763739987030411849e-01,4.365945906063917192e-01
1.644984424214127883e-01,4.658863629862843858e-01
1.821003933615926718e-01,4.108240735058525384e-01
1.632181811801256821e-01,4.751394685319205724e-01
1.773587529630048787e-01,4.358525578072314777e-01
1.829168277775439777e-01,4.178954073625696930e-01
1.789204073092242608e-01,4.343929079857479780e-01
1.903289886934853015e-01,3.939479055586840306e-01
2.154275865060183981e-01,3.753621164868098381e-01
2.067861453535805860e-01,4.045421251677208119e-01
1.857810848238466983e-01,4.421265598378035788e-01
1.893531982999578367e-01,4.210470723556365980e-01
2.106473213529906352e-01,4.062977132365856447e-01
1.953105797663263199e-01,3.981192820282475342e-01
1.912157242417239500e-01,4.175773460662730030e-01
1.863497074395022990e-01,4.480694537412125422e-01
1.886358394560948004e-01,4.271880131067444242e-01
1.882351999758258843e-01,4.456632783876525172e-01
1.871662827898369352e-01,4.363166932167277245e-01
1.916844258919664368e-01,4.174672886876102940e-01
1.906046412138066581e-01,4.360408871880086523e-01
1.985483800411982913e-01,4.033206841428728651e-01
1.929844758019094719e-01,4.247304019740140713e-01
1.962122090632391624e-01,4.242008790211193037e-01
1.954954802488581000e-01,4.244075138122784252e-01
2.049691403662806111e-01,4.002492661405254726e-01
1.997206294779299285e-01,4.372492083527415585e-01
2.121628009808814164e-01,4.296693336829430776e-01
2.040956048614655516e-01,4.125350360036370567e-01
2.450480303923817660e-01,3.369767777168755640e-01
2.450480303923817660e-01,3.369767777168755640e-01
2.078738718272915009e-01,4.019771328146080624e-01
2.052206596228737245e-01,4.180045094525958183e-01
2.058171424165893826e-01,4.402665214222058476e-01
2.554127069409266038e-01,3.097596431118692650e-01
