x,y
4.493116070283459940e-01,7.156392237923842048e-01
1.000000000000000000e+00,2.810276954088763990e-01
3.063461849550140337e-01,4.706003102629547352e-01
3.132681697088444128e-01,7.465716846191347011e-01
3.262613232579885669e-01,6.362615646430498373e-01
1.139292124418798402e-01,5.022631096250989025e-01
2.957075884247032382e-01,4.669437182148056253e-01
2.538858953209844893e-01,4.616121571374103838e-01
3.816754862916141855e-01,2.661886744479392553e-01
6.453592376901016170e-01,3.725846512512080988e-01
2.457817128732447398e-01,3.387712081200147107e-01
2.294125916219806050e-01,7.035559407298307422e-01
2.468854517545879812e-01,1.820179197129928872e-01
2.462915702767883852e-01,4.586952276956448027e-01
4.027513426100366445e-01,3.330187207673521721e-01
4.949190549565826713e-02,6.209224652444822468e-01
4.230608049683867722e-01,6.110198479761003165e-01
1.751055448346285348e-01,3.843418927149714337e-01
1.901051941395896505e-01,4.590143988757290350e-01
1.640346263772914925e-01,1.984662889927762131e-01
2.336683639933332390e-01,5.763048520106364148e-01
2.686248291544084399e-01,1.792277086217796411e-01
3.987447492456609455e-01,1.446596829958102237e-01
1.727820299178832730e-01,4.457684619070521603e-01
3.687065941820047987e-01,3.344601927427045540e-01
3.385905696743450877e-01,4.742899185176537857e-01
2.659169311857765283e-01,3.875173130034261226e-01
3.826417778703986028e-01,3.360853483790198215e-01
2.328076176431982947e-01,2.945820311901825583e-01
3.149786248764538943e-01,5.605127050230968022e-01
2.333555120606954358e-01,4.133982020564159199e-01
2.372731261964235172e-01,5.341618794061455677e-01
1.975298427799564993e-01,2.371269360650705704e-01
4.627962216650479133e-01,4.979999809565808233e-01
1.694024517267969654e-01,5.958910435650988102e-01
2.947223260460596905e-01,3.974112250531607327e-01
1.855282171682278436e-01,5.188571231355071367e-01
3.401472239268414910e-01,6.112336127369392136e-01
1.199026488829864068e-01,4.036966323491147368e-01
2.144684020156035209e-01,1.344184016505707846e-01
2.208456725294220546e-01,1.792263754578289903e-01
1.869738269686899435e-01,3.257756803332508277e-01
2.407652433747008713e-01,1.834993773832000463e-01
1.545410123793883594e-01,3.433598104773242232e-01
2.084790283650825582e-01,5.345873608311429992e-01
1.936243465180169099e-01,3.155119296168069631e-01
4.832728489716350828e-02,5.879190098791073904e-01
1.551598487046943475e-01,1.923526776121377568e-01
2.790736265988724707e-01,6.628947594340440785e-01
2.294454253658460285e-01,7.033265663191088368e-01
4.310699116562336508e-01,5.654756608873992008e-01
