x,y
2.692093171349663749e-01,3.080541128246873095e-01
5.088924689170095661e-01,2.929748294168941225e-01
2.312277065615667704e-01,3.927704349746524159e-01
5.407775460270072276e-01,5.390423913367090591e-01
4.155661566588653155e-01,3.338246829957265405e-01
6.061136831217015519e-01,4.431527464200875621e-01
3.305446671782552581e-01,1.939104556192606243e-01
4.807646081169022478e-01,4.578150069567356595e-01
1.647665747616249288e-01,2.204737101648428232e-01
6.164123918692121507e-01,4.618501280696599154e-01
1.934027624096275044e-01,1.621394797240994223e-01
2.611312637215035259e-02,3.203180027467788515e-01
1.240976834056949363e-01,2.486710313745922607e-01
6.313814538040096735e-02,3.768435987495047934e-01
6.347844904895949547e-02,5.757579627816840073e-01
4.424760063181131242e-01,3.887402112084537564e-01
1.331149943783336842e-01,5.115019352851539747e-01
7.582635950398136648e-01,5.083093583378935909e-01
3.275680863398469644e-01,5.537144355491221415e-01
4.673983663510327125e-01,6.848237463517483636e-01
1.080396706992459155e-01,2.921322612938745955e-01
8.507364051441284047e-01,5.481725087504834004e-01
2.093744538030605229e-01,4.683332419486982978e-01
6.300585132495988283e-01,5.083628842229902522e-01
1.608152568969577478e-01,3.541918903807759200e-01
2.324628566271580432e-03,0.000000000000000000e+00
2.410448592688630154e-01,2.090211639130178101e-01
6.402128369938128172e-01,3.136564902492994245e-01
1.121218588583889342e-01,8.759191748350301232e-01
4.261302133074521548e-01,1.755000433579757546e-01
5.775409156888527962e-02,2.180173356638443749e-01
1.907337671700692905e-02,4.419217487925354848e-01
2.017161175167586917e-01,2.665014913525813878e-01
2.538280634295461136e-01,4.120279542375972492e-01
7.527425956789196571e-02,3.913979947136054238e-01
6.415376754134977100e-02,4.977224568361551249e-01
9.417540654682554635e-02,3.831355914265947571e-01
6.033092913199324947e-01,6.749243764713368510e-01
1.552745049853752057e-01,5.178074710515403467e-01
1.891781639912155366e-01,5.764145725136536891e-01
3.047356992856535274e-01,8.089784942565656500e-01
6.403117325640363955e-01,2.561471534669237382e-01
4.036149161781698580e-01,7.177731022836424390e-01
1.389710049191292263e-01,3.911205596912141758e-01
1.599021147403141552e-01,1.997388257931230759e-01
7.081941555009074740e-01,3.790700665677692038e-01
1.116486675166251663e-01,2.935591708283867840e-01
5.075897724765208174e-01,3.217506375943707253e-01
1.230298638209732509e-01,3.754430315964611964e-01
6.218725094988120095e-01,4.624145045998321879e-01
1.565423002798636554e-01,4.351665610509793947e-01
4.934950755327226490e-01,4.298288177178091196e-01
8.168310620963830093e-01,1.414283358798273937e-01
5.794027931651498653e-01,4.202812959885471322e-01
1.033872079855692183e-01,3.096506576546165235e-01
1.000000000000000000e+00,3.296515902818636379e-01
1.012768959615607534e-01,3.697561191613206732e-01
5.733554917719594357e-01,3.952846586081741886e-01
1.037711261133832386e-01,5.344932090441200101e-01
7.064517412761555093e-01,5.579627497794624746e-01
1.668666954021592597e-01,6.346031330370222046e-01
5.256743398459635674e-01,3.416020963485935646e-01
2.581132604132632680e-01,7.688540357382127599e-01
5.516698360726985939e-01,4.150609575025188680e-01
1.479452586625226995e-01,4.026844337122248985e-01
1.173078045276254588e-01,4.975347331944132701e-01
9.827834706056287617e-02,4.407195372629271191e-01
6.031694116711150411e-02,4.652100464990409634e-01
7.854405746719947956e-01,1.769679591176633870e-01
9.089540066370094262e-02,6.962389022030409658e-01
9.788141701484232016e-02,7.286493592893065196e-01
4.426739770535928487e-01,1.879818563933882136e-01
2.773665445745535085e-01,8.441070354101281037e-01
5.330714459368759428e-01,5.247781840503948914e-01
1.794158303001611721e-01,7.589959121183246227e-01
2.130627718191228648e-01,3.884701722783061584e-01
1.878112452020911649e-01,7.255854740518947743e-01
5.725286611173066031e-01,8.518398513170437614e-01
2.753265722293313789e-01,9.999999999999997780e-01
5.352820624840551877e-01,6.647794626296341658e-01
7.238136126851801855e-02,1.792966938593550386e-01
8.558785255121470481e-02,4.604200295271406174e-01
3.480626131854968053e-01,8.184947607427528471e-01
5.335966281736471695e-01,6.077903096856310805e-01
2.485989791791280989e-01,4.323128611914840436e-01
3.136364741394346289e-01,5.107784467232565628e-01
2.142118765790013424e-01,4.001435758816432875e-01
2.516162325358111129e-01,4.840255849252345088e-01
3.427520911301745188e-01,4.725833890601252585e-01
7.048801442394454497e-01,5.078738305298733380e-01
1.924930261948810395e-01,6.533323665378194534e-01
4.297523618659447875e-01,4.365533327594038893e-01
3.605496135413817083e-01,4.225119168403367875e-01
4.733861951264840551e-01,4.504902859533900239e-01
3.460475528311238169e-01,4.249022057210890546e-01
7.209023617742589263e-01,8.201700784562244717e-01
7.296035988744073997e-01,8.149366463094623869e-01
8.114816980304155880e-01,7.530204675101929146e-01
5.575191748795138569e-01,1.338925821043142617e-01
2.394661029327922186e-01,4.980176366870939786e-01
4.737254552796362761e-01,1.669250659307918716e-01
7.338366948631197539e-02,3.655499414784247891e-01
5.961676865648318779e-01,3.797760963637752396e-01
1.047622692921887366e-01,3.234485498402202008e-01
4.405523968800604262e-01,3.346674109391867269e-01
6.017382637579565818e-02,3.144594606331695963e-01
5.336027619284046120e-01,3.846001196546281475e-01
1.114994920363355235e-01,3.861877535353325785e-01
5.670557079906607401e-01,2.731161580691013890e-01
1.184812180213341004e-01,8.766171254768290177e-02
4.351235038409052569e-01,2.709650768069405413e-01
7.323160564753641300e-01,7.421243205250048769e-01
4.298071549085453191e-01,4.514938571348778851e-01
7.929832868149295777e-01,6.990687112407965031e-01
6.605492667684764729e-01,4.453058621884401491e-01
4.649593053918412711e-01,4.399823970932837947e-01
2.774416110197331364e-01,4.037466639982004724e-01
2.156900016357403693e-01,5.182439387817453502e-01
5.685708299022323997e-01,4.842593551985489020e-01
9.313585775658711485e-02,3.876950217689508205e-01
4.084680203086281103e-01,4.560791085106709053e-01
1.887766987725830736e-01,4.262593547257885196e-01
5.716749815040773619e-01,4.305368560042871495e-01
3.879629397687172632e-01,4.115345494281045235e-01
5.867984246166201290e-01,4.235686130838094421e-01
2.464545677798435086e-01,7.050943151306257040e-01
1.819721462671277101e-01,4.420611734736507037e-01
8.090136865537550515e-02,4.157712309398226003e-01
5.296945373413542990e-01,3.712887034815076648e-01
6.824075989324834834e-02,4.252625542921325552e-01
2.629190739092055473e-01,3.983581138969410906e-01
4.535336668916528646e-01,4.893716838902344435e-01
2.937179122739297377e-01,3.960666742605242208e-01
6.879101264548426187e-01,6.796981952111261771e-01
3.286032493324044790e-01,4.184615920989342985e-01
8.054633808212550150e-01,6.401124445489448922e-01
8.768955000015337120e-01,2.557732492551939574e-01
3.396539049523504272e-01,4.799725254761767479e-01
6.243724922877625927e-01,4.400964365535795508e-01
2.567089907019741712e-01,3.829283889883483005e-01
6.428129431997653409e-01,4.589440425307551030e-01
8.539590882028302854e-02,4.296667759415059851e-01
1.590141643895549017e-01,2.399877828036012795e-01
5.821330591293047974e-01,4.521584260013604695e-01
2.850666347971990700e-01,3.622367160132207720e-01
6.129343291403177574e-01,4.700765594367177780e-01
5.921748980644853111e-01,4.254407289626176980e-01
6.665760660307396002e-02,4.462982469464862323e-01
1.273393341360732345e-01,5.552244908248787914e-01
8.236526830270279875e-02,4.528595404191639306e-01
6.488156305336107987e-01,5.021515307873832823e-01
2.360417251016309892e-01,4.782747472677958966e-01
5.975259489853381734e-01,4.497434913963603287e-01
7.702213910894744053e-01,3.369492415678919106e-01
6.206917358202831414e-01,4.481340384338780569e-01
1.794469106606973174e-01,4.439214767149121665e-01
6.030979918934574746e-01,4.434200915187006542e-01
7.132643191938230487e-01,4.110703906564854293e-01
5.247812426375955130e-01,4.375329858709875452e-01
6.540966892837474234e-01,3.417899085132378723e-01
6.078762077865640379e-01,4.444688342100868716e-01
1.555822401126476517e-01,4.264949055931240851e-01
4.818011969297353314e-01,6.156034369452967336e-01
7.103862810821317542e-01,3.126351593786801386e-01
2.687983428863772728e-01,7.773559589164835693e-01
6.985080367860116990e-01,2.771253295691793461e-01
7.346770763060787024e-01,4.568405372671217601e-01
7.300779219778289475e-01,3.463560197946565777e-01
5.874185650453251917e-01,4.281541586830708290e-01
1.929478656747149468e-01,5.542940061464484147e-01
5.728018869146519476e-01,2.630900051845792564e-01
1.347494972348441955e-01,4.138573363128192351e-01
6.211771067941044278e-01,4.062808435035983323e-01
6.126285294305960916e-02,4.175643454157966783e-01
5.844469317867395652e-01,4.170718592316733364e-01
8.158953131213309007e-02,5.121061039095142764e-01
5.335364203742124500e-01,4.143910940135172583e-01
1.691985848728281006e-01,4.657611538944384511e-01
5.829589668510772871e-01,4.345100309861436583e-01
2.040080839249484856e-01,1.656283783725608916e-01
4.609435298979545625e-01,3.287774416794552734e-01
3.048939916758419688e-01,3.041509617017596478e-01
5.026937600045365828e-01,5.621381705901269399e-01
3.578061850220199958e-01,2.606676200631872220e-01
3.716452671770806848e-01,4.737616099652529056e-01
7.083920765172582179e-01,2.741124618947543556e-01
4.250788677094106127e-01,5.613448859983453110e-01
8.927768642791293896e-01,2.301343574792270030e-01
6.921342098391530806e-01,3.008675853466739603e-01
1.235851248124718027e-01,7.492560015681093422e-01
5.138374748499441313e-01,2.694712898210106511e-01
5.200539113216949838e-01,3.583046349609065873e-01
6.173629240730755807e-01,5.214683121759332574e-01
2.898187357361889371e-01,6.244475941532716678e-01
5.828466320487815100e-01,5.257528776165796280e-01
1.318862218186210300e-01,4.341666719829047061e-01
1.983290794462959639e-01,6.999896453619658399e-01
7.784135566223543412e-02,4.313564753148040887e-01
6.046711020830003447e-01,4.610319677248776449e-01
9.974330077320264776e-02,4.430222560566697831e-01
