x,y
7.706581280787760946e-02,6.035281497565138098e-01
7.262364882941430011e-02,4.150886703780182208e-01
4.777582487677056733e-02,4.273222603278366005e-01
6.820098785001377228e-02,3.613223929447202387e-01
7.074293969280098793e-02,6.063071867362754830e-01
1.346607208718942905e-01,7.634874512139202540e-01
5.759490806401640350e-02,4.483024210232282591e-01
8.528889805863110185e-02,5.442037983636905940e-01
4.804092518405000956e-02,2.627002381299559652e-01
7.854196732873153231e-02,4.389643870640929646e-01
1.023768082672485424e-01,7.270852037826611713e-01
8.718911019430741760e-02,4.876584839506302727e-01
6.236089713450465588e-02,3.929910676518573731e-01
0.000000000000000000e+00,2.883431195658213708e-01
8.285848530839573511e-02,9.299931571725120749e-01
1.198496621987845678e-01,9.902128617843857228e-01
8.585240998193405249e-02,7.901895151750946145e-01
8.217763170938074957e-02,6.006908532712906812e-01
1.461736406722821124e-01,8.134155091421468864e-01
9.086388846686066501e-02,6.771571458544338729e-01
1.302967846772388749e-01,6.305923632286369873e-01
9.714764769003353395e-02,6.466059131780659275e-01
1.330897629213234623e-03,5.332696538519163809e-01
1.313513833231966799e-01,5.195618399476735760e-01
1.237953433617775545e-01,4.676319359797495023e-01
1.021787370678012841e-01,4.266725376088144617e-01
1.077146135841268726e-01,5.318536894029519679e-01
9.441882332377488085e-02,6.217875329776030302e-01
8.338868592295489712e-02,6.007491127767509154e-01
8.438205804424070422e-02,4.072957123569558302e-01
9.070493115931765882e-02,4.045166753771933799e-01
1.161162670352643977e-01,6.382688022387791316e-01
8.227536249225175791e-02,7.909084466096991672e-01
8.946596172981502448e-02,8.972652999400660967e-01
7.854196732873153231e-02,4.389643870640929646e-01
5.102654553450108876e-02,5.088024739522801765e-01
8.546746625901541217e-02,7.099432625923403073e-01
7.854196732873153231e-02,4.389643870640929646e-01
3.466690713988984651e-02,2.970896903113952048e-01
9.043983085203793904e-02,5.691386975750738486e-01
6.482462119348375573e-02,5.824314700502009057e-01
5.313324108648992405e-02,1.251897396995363954e-01
3.232302649654983373e-02,3.525175626936865036e-01
1.167663110654625358e-01,5.538930326236527479e-01
1.447840182583236546e-01,6.476177854080371610e-01
7.258453493751038099e-02,3.873164746814123927e-01
9.795414728784779257e-02,6.733189263493628562e-01
5.482696980585360924e-02,3.957118451261594783e-01
9.722587547384164974e-02,7.021503045712775837e-01
7.425876065781111812e-02,5.231653781628384792e-01
6.424597485078248349e-01,7.398098406970018415e-01
5.922618152039063055e-01,6.007141809240664765e-01
6.679967303825710134e-01,6.709726768286632392e-01
4.852168565428187086e-01,1.659268352232182164e-01
6.143025870064833249e-01,5.081178193805735432e-01
5.506694091337325236e-01,3.209887346502452443e-01
6.154549164353122492e-01,5.873048894380188401e-01
3.523893186987684945e-01,9.927187753378641233e-02
6.080579416752143196e-01,5.664412477535474277e-01
4.579860380549306553e-01,2.058161018587220115e-01
3.866321682238356150e-01,0.000000000000000000e+00
5.322447987127417734e-01,4.406383604557391198e-01
4.968080041270147018e-01,2.713992845446568936e-01
5.996171743321729863e-01,4.322539392211145470e-01
4.345278365162451029e-01,3.838474155426497281e-01
5.915726572818040818e-01,6.573177548425869210e-01
5.533982334999911767e-01,3.458071148507081416e-01
4.928485146543406525e-01,3.534236510873248194e-01
5.936793528337929171e-01,2.737050205898432509e-01
4.655981931673897622e-01,2.586397157776314515e-01
6.184488411088504556e-01,4.475012474406014906e-01
5.102627516949097553e-01,4.541059114472464908e-01
6.441227755521499176e-01,3.550796644134890379e-01
5.905654768508372676e-01,4.102145960004138781e-01
5.611498429209305083e-01,5.365979973016616889e-01
5.875936648100672510e-01,6.046689194400577394e-01
6.490477219301812317e-01,5.724087815193588114e-01
6.812925206429230052e-01,5.810388332540122880e-01
5.751739049952888649e-01,4.178327755050959547e-01
4.156570558476636035e-01,3.408279116265573450e-01
4.494171229731628303e-01,2.126663963653961376e-01
