x,y
1.008092944249148679e-02,6.277816607203681176e-01
6.584311958422656152e-03,6.302328655043880623e-01
1.142589409746321005e-02,6.407691881740660289e-01
1.585329233832186852e-02,6.437530592710778432e-01
1.742060241553929426e-02,6.219122995489791972e-01
1.738941200161956552e-02,6.383440672108656733e-01
2.763956634409359472e-02,5.272517867666360880e-01
2.445835036453938502e-02,5.732965394913996926e-01
2.344318860331275067e-02,5.723523886120290838e-01
2.101034970695264681e-02,5.452283603906643572e-01
1.560906555502298253e-02,6.586779990413994534e-01
2.923587789902637804e-02,5.003500959971427520e-01
6.353187383254597920e-03,6.283251598387259440e-01
2.045310539016185342e-02,5.540001045268232449e-01
2.978968314499482253e-02,5.141196476761568102e-01
1.076572538683490815e-02,6.373322261945453260e-01
9.604172534668588279e-03,6.275789395567517026e-01
2.442506036995656729e-02,5.524925088429389897e-01
1.087335351515065010e-02,6.194081697252716845e-01
4.518902281821269434e-03,6.247267706517545260e-01
1.774163687086093011e-02,6.282863697816025716e-01
2.482874341509039642e-02,4.858402960131621984e-01
1.534072265681497502e-02,6.486111347480918443e-01
2.122600033166710531e-02,5.407387929259429571e-01
2.290642606308838578e-02,5.211288931736393071e-01
1.797061294522195318e-02,5.335728260864243122e-01
1.676580065952520265e-02,6.454981797191686743e-01
9.823708032604766549e-03,6.327745427794897459e-01
1.793885416606141869e-02,5.574302126906355292e-01
2.601214591776059362e-02,4.870041304185939168e-01
5.460031645005516965e-02,5.114839785538638495e-02
4.959872819775682645e-02,1.150105102825290104e-01
5.369545199105510425e-02,1.248882412816880727e-01
4.016975471809948461e-02,2.146193250650160200e-01
4.892636374017093892e-02,5.242604948229750983e-02
5.572693695479258302e-02,5.323215600878228315e-02
5.492927804840308514e-02,3.426909753847923179e-02
5.359084121503969456e-02,1.594480540437669958e-01
5.873174321876199755e-02,1.140820814306778286e-01
6.242125438442526486e-02,0.000000000000000000e+00
5.203941277817308864e-02,1.626660142913269880e-01
6.527024018925706161e-02,2.381014218852706144e-02
4.606818281228804157e-02,1.284246107251890701e-01
5.036966471669104134e-02,9.669841356951019984e-02
4.605659220299973544e-02,1.727501008135821636e-01
5.476869843135585836e-02,5.275121284937633881e-02
5.347355714138891936e-02,2.606438824219448058e-02
5.664519470170950588e-02,5.233593372777556318e-02
3.696711380610354092e-02,2.067678046094149624e-01
5.818631195049824706e-02,5.505732312595212896e-02
5.383397101303395715e-02,1.305411080249090916e-01
4.875086872209909161e-02,8.399865449728877165e-02
5.231815518179884494e-02,1.069044619376467997e-01
4.974280067669744482e-02,1.486835919747117041e-01
4.602219940731540337e-02,1.383495024967686948e-01
5.335070319153256690e-02,1.219444451249638295e-01
5.570799328602962786e-02,9.489349524887219500e-02
5.497536505837912618e-02,8.314090724823064438e-02
5.911815195057774919e-02,6.278972638585567090e-02
5.380630531441562420e-02,7.571173114258927805e-02
1.282663117652753371e-02,6.344204254779988172e-01
1.610788808175615122e-02,6.540607844138971450e-01
1.791352895420170871e-02,6.135944387135348066e-01
2.083940751734580932e-02,6.149318460366599570e-01
1.679748556974615392e-02,6.223064486152225516e-01
1.780901936909148539e-02,6.096410623527783734e-01
1.000000000000000000e+00,9.999999999999997780e-01
