x,y
6.368019872342802756e-01,5.589655032882502317e-01
1.390824925345174878e-01,8.240476967443717271e-01
3.465612759979246893e-01,7.694750890872370519e-01
7.255953878987498884e-01,6.999094638824731041e-01
4.305886110317065363e-01,5.223796240300406790e-01
2.556803570309023055e-01,7.788422523728049107e-01
4.007503004424071147e-01,5.879060652153194066e-01
2.563324865463441071e-01,4.198389090183695660e-01
3.280626527263912906e-01,4.098726313356941264e-01
3.923535650570072475e-01,5.392800638875056007e-02
8.105416660018964770e-01,2.610577290107782833e-01
4.163785703569780061e-01,3.381343480396911683e-01
1.485874477776396585e-01,5.247209401417443075e-01
5.876298418847109017e-01,4.579431800644732653e-01
4.680335843178776711e-01,5.109320807490844718e-01
6.099658506812150049e-01,6.202606566336230642e-01
7.591251186425072017e-01,5.908255784288864998e-01
3.647740615363023742e-01,7.872463799632510861e-01
6.081657425535688111e-01,3.573013453792429628e-01
1.742171124909103197e-02,6.822937889391507138e-01
5.263174947969557760e-01,7.584753775106690687e-01
7.946124015237880922e-01,9.554748539309421140e-01
9.639096935040514236e-01,8.916666757536904075e-01
7.206420814732565905e-01,4.010783086765905558e-01
8.608927655632471199e-01,6.756173578055097995e-01
8.108908442357390944e-01,2.324560157837923802e-01
1.570969701293397081e-01,4.891207953974197054e-01
3.420690705132028997e-01,2.717588570527160741e-01
2.348798982440243321e-01,6.512969925630585077e-01
3.424654661880133233e-01,4.024358890039281267e-01
4.225544685759275998e-01,2.766322025335660184e-01
3.569091021192449809e-01,3.355100410741042039e-01
4.106926090043411803e-01,6.253571845431649123e-01
4.104706872470272883e-01,5.465265307094341329e-01
3.759120817571839357e-01,5.763490158752175851e-01
4.018744771434975549e-01,3.289281573692072747e-01
6.668778155682083542e-01,3.636279043211670392e-01
6.805952919191634587e-01,1.301775752662497898e-01
6.787786630759753415e-01,1.774852348673859881e-01
7.165614730712090985e-01,3.533084558376657358e-01
6.818757293804813546e-01,2.255048650328131399e-01
6.986046590535085477e-01,3.912245594122412684e-01
7.710942649992458264e-01,4.837552912232228053e-01
6.770686564901967630e-01,5.690584153241000642e-01
8.035616592163288274e-01,7.044138554707493061e-01
4.312769762488273817e-01,5.902305395339519922e-01
2.716474775082027282e-01,7.496532210445823186e-01
6.482311184955844574e-01,5.046606870963279423e-01
4.941855033910519390e-01,3.630224954287616934e-01
5.190075088357598565e-01,3.431155906133738220e-01
9.450008487465320073e-01,5.915134123173979575e-01
5.719719687689417409e-01,4.462547904954357603e-01
3.871363961088949979e-01,1.617290554934379676e-01
4.676953035930840330e-01,1.768926637893640241e-01
4.912110109232191157e-01,1.925650190969246112e-01
