x,y
1.725727147906761516e-01,5.254216814653769330e-01
5.242723451575034832e-02,3.681298231155960554e-01
3.538273534287148525e-01,1.717708713486362504e-01
1.833812067087054187e-01,4.253291431913137632e-01
4.113306127946256829e-01,2.884473749674458243e-01
1.285842954256825044e-01,4.006687453669625643e-01
1.031183407479872166e-01,3.355508699118935345e-01
1.979472596017531061e-01,3.415924495229051838e-01
2.375597647930278722e-01,3.637359111913179843e-01
4.441386005632246281e-01,2.525156447013459093e-01
2.527726894177513839e-01,2.489300785966651608e-01
3.500513724215562061e-02,3.833340559063787567e-01
8.881111420409183721e-02,3.351975090043971539e-01
1.510716272904297774e-01,3.665174092787465976e-01
1.585648321526098026e-01,3.461153492244523622e-01
2.222852543062412423e-01,3.982924191948685189e-01
5.407915900379598462e-01,3.179530416117756775e-01
1.875974974110799776e-01,4.020397791005155819e-01
1.011764374489893537e-01,3.886185824923785725e-01
1.341930673546525288e-01,3.620004650592670847e-01
7.635103666818145174e-02,4.630924162316621406e-01
1.065199219049113993e-01,3.919332964814384868e-01
1.557172257434349949e-01,3.957021485716193943e-01
9.999999999999998890e-01,1.000000000000000000e+00
6.123639013746322579e-01,6.795009278782424555e-01
2.379956943612260289e-01,2.817914289762144531e-01
3.464009031079183232e-01,1.880686038807820870e-01
3.994207866027548182e-01,1.670081073551419049e-01
9.919401220934694063e-02,4.545337555342325864e-01
1.676584122689873391e-01,4.560108588836679355e-01
1.528137461629310023e-01,4.668567427810144665e-01
8.025562515297413047e-01,3.337029230278717451e-01
6.318293189883372740e-01,0.000000000000000000e+00
5.890715982882515078e-01,9.708092159243342234e-02
1.915390390074242499e-01,2.577319443605799454e-01
1.102998573501546564e-01,3.345901185637615294e-01
2.009419240251464622e-01,2.960981570261567719e-01
9.224922760266460742e-01,1.032302977902720409e-01
4.405389084257947951e-01,3.224556670041294204e-01
3.349962237773412843e-01,2.424025858244658327e-01
1.348715078338952877e-01,3.541077027287271584e-01
1.422160314838272210e-02,3.450335389647887774e-01
5.206646347552834619e-02,3.480330469906917079e-01
7.043778841414102820e-02,3.046649155217568961e-01
4.086992834520544737e-02,3.711206314984190624e-01
2.578903805229246782e-01,3.456185729006935881e-01
6.846332712911970542e-02,3.208336789377941312e-01
9.899016039116273480e-02,3.217420709162659431e-01
5.591527321502762216e-02,3.488721564119242613e-01
6.153954956951804278e-02,2.651421248246678686e-01
9.806941160658638745e-03,3.214879528434009814e-01
1.693689930426920398e-01,3.802206074827643167e-01
1.174934242979936566e-01,2.281129104943290242e-01
1.386753953219827529e-01,3.465036724307833937e-01
1.282729082614864624e-01,2.525341194951739032e-01
1.370300610674347885e-01,3.557730109788301842e-01
5.793082425741213903e-02,3.810769498554836821e-01
1.367880415378252834e-01,2.522195428470682677e-01
3.415605997865314714e-02,3.606215536054022675e-01
8.352769454709270402e-02,3.483971521701163532e-01
8.220587317060608357e-02,2.782573007158444800e-01
2.496668216106701088e-01,4.066989563612510850e-01
1.663252038346663408e-01,2.567300296107384305e-01
1.125709152545420755e-01,3.758525349731566823e-01
1.395148950986221936e-02,3.698594015689465886e-01
8.444089800432959259e-02,4.397514302536338904e-01
8.860191430843260274e-02,3.055380288129844191e-01
6.655067802638678365e-02,3.739033005780834085e-01
1.391112160810044074e-01,3.107277173694257266e-01
8.419850416253121805e-02,4.896853839008454279e-01
1.767443907472232567e-01,4.506930354186189369e-01
1.095814472461210526e-01,3.218208038032548401e-01
7.039800978878044124e-02,4.676595233866380763e-01
5.776153879287956872e-02,2.777111417603026489e-01
0.000000000000000000e+00,3.454418245184187053e-01
1.673473222004472627e-01,2.968636677058593687e-01
1.019773907147250441e-01,4.281734283831183929e-01
6.819044088900128031e-02,4.224511606924251650e-01
2.400032024674014497e-01,2.487010140742699771e-01
1.298882508537231306e-01,3.918023910789812381e-01
