x,y
2.553606141741850410e-01,3.362878973365439061e-01
1.875016497892807443e-01,2.505451683762057180e-01
5.615751095755237010e-01,3.186565107981412792e-01
1.597338807194483290e-01,3.676861630329019137e-01
2.085603834217665820e-01,4.873144640782772763e-01
9.307600260001784864e-01,0.000000000000000000e+00
2.292551648986022317e-01,3.453215356061319352e-01
1.327558287828148609e-01,3.174306569188781180e-01
5.029890764035932493e-02,3.407994996212616590e-01
3.980503102457219611e-01,4.075464479846803156e-01
1.049120528408408470e-01,3.164079251146604821e-01
5.314495468927077360e-02,3.186576396875339667e-01
2.199495771454110793e-01,3.112245654690600216e-01
2.058613118730288072e-01,2.505500194654359802e-01
3.606016272461082250e-01,3.712716881962329074e-01
5.528489707259645058e-01,2.600154456200673425e-01
2.693245352028628137e-02,1.789161213166082787e-01
3.729381333958439182e-01,4.112114438102535408e-01
6.158509807586647344e-01,2.062295074307965437e-01
5.813947188538870492e-01,3.222992883585469315e-01
2.204213630217431441e-01,2.433078647596575717e-01
4.759610605332187383e-02,2.071445361114413464e-01
2.088961813401546963e-01,3.432246410065695752e-01
1.566670393623405821e-01,2.982137975956782316e-01
5.501197594841932270e-01,3.559690075896312367e-01
1.847903237852789593e-01,2.785981572597856504e-01
6.804660247478372392e-02,1.870126603025895062e-01
6.294304450480514568e-01,2.792806648926324797e-01
4.729517703078595092e-01,3.445602895053860304e-01
1.641441033731460830e-01,1.871523969202280591e-01
2.233514384389294061e-01,2.863560413886750422e-01
1.456229644346417329e-01,3.069481862765751079e-01
1.497561571826789006e-01,3.503916787909031605e-01
5.692425486767300757e-01,3.983277846045809589e-01
2.710810591419981486e-01,4.025160650972631760e-01
2.351120504466207572e-01,3.255037037144403733e-01
1.979227670931107963e-01,1.153468560167126844e-01
2.575948725143775708e-01,8.622880021175934884e-01
6.209035293028826175e-01,1.749749422586228675e-01
2.020774903526723343e-01,3.018320387998628673e-01
5.511056600858526000e-01,3.569985011056855950e-01
2.717635805125190318e-02,1.586263033737524419e-01
2.353341821413302282e-01,1.792176939930749668e-01
2.771410248139979937e-01,3.975212500371725910e-01
6.108081996952214876e-01,3.321915324620341448e-01
2.422588616858875332e-01,2.030576101993105120e-01
9.596873316314771807e-02,2.404668510099337575e-01
1.712838755211137376e-01,1.398662813273625072e-01
2.196170731262393760e-01,2.185299228461362042e-01
2.814268539537781444e-01,3.348642775305392116e-01
1.417348722062624633e-01,1.518696536359597504e-01
2.162354863964822682e-01,3.924070891984708376e-01
5.996079223804304803e-01,3.492028219955554125e-01
2.038257143565116447e-01,3.708894636949832124e-01
9.253817188867474730e-01,8.321429272618818818e-02
1.042606172262829645e-01,3.598875144513180024e-01
4.075142127963500838e-01,3.761736917267876068e-01
2.176996827296736048e-01,1.749313310402705324e-01
5.819399765272255109e-01,3.638306232305896781e-01
7.481607468674680850e-02,1.923936933200903754e-01
4.781603388161588253e-01,3.991397140160186652e-01
8.214662648833101488e-02,2.504364513217234856e-01
1.102372517928820461e-01,1.925023487556601354e-01
1.921532165285746718e-01,2.826040935394298903e-01
4.221942879816558136e-01,3.692754011991100094e-01
1.714143290516479401e-01,2.458158591050156883e-01
1.780027582704968303e-01,1.532460022490416685e-01
6.901662506129110364e-01,3.040205640396426157e-01
1.640045126114726692e-01,3.310703195551575884e-01
4.697492729773458664e-01,3.893577737751546808e-01
6.085565752267123596e-01,1.107064164285801178e-01
6.745976713137452618e-01,3.385409082412594861e-01
3.510765419462618664e-01,3.969423922101177338e-01
5.418456022226564306e-02,1.466088618251108200e-01
1.989162620863732245e-01,2.677113998968257969e-01
4.852563980605195670e-01,3.284090247055475031e-01
3.236713753309429231e-01,3.195474052696026801e-01
1.859971702700643770e-01,2.022637111209972804e-01
5.945788823074585894e-01,2.955238540870873121e-01
1.851370923520399836e-01,8.204144348667150033e-02
2.094371630852138733e-01,2.625533463182599392e-01
5.991687431573314848e-01,2.799365069097321523e-01
7.411831869929394467e-02,2.741957681722179685e-01
1.621622185812816030e-01,2.364105966072177489e-01
2.055882534598594269e-01,4.309289504698881057e-01
9.761463202245241888e-01,1.615961289988687710e-02
1.886087524271712612e-01,2.485559313530898706e-01
3.355523001032628683e-02,2.085957941832603801e-01
3.310051609599432565e-01,4.587926838438965982e-01
5.614731221517249571e-02,1.874316590271596916e-01
6.433782640001685094e-01,3.289755365022897782e-01
3.053087390414735980e-01,2.839013437349833802e-01
5.017088292491180823e-01,2.586919634984008454e-01
2.359194692497950663e-01,2.775557969109005430e-01
1.701251311985087222e-01,2.630750025342560305e-01
6.162465804153318683e-01,3.159484760118680957e-01
1.647706563108546352e-01,2.695372741904195624e-01
1.978691861791337381e-01,2.716708475072822093e-01
5.223281097128981143e-01,4.039078254628422626e-01
1.755044284432702162e-01,1.470629357692041783e-01
2.148989685243441194e-01,6.674089868450434615e-01
2.103206299641941224e-01,3.789683686328504386e-01
8.988265523759625397e-02,3.048166181999087399e-01
1.910877153932499795e-02,2.658389631073765913e-01
4.826826493282094788e-01,3.592107953654813945e-01
6.449586223360554982e-01,2.656011781336758970e-01
4.825856051244360456e-01,4.228577659837453595e-01
1.858045091886884326e-01,3.070714411571983105e-01
1.864325084761107032e-01,1.867572953154310045e-01
4.214125803384384250e-01,3.680202023967114600e-01
1.682622836875304340e-01,3.382054735700825709e-01
2.281244379684582713e-01,2.799271736566748547e-01
1.650815730479274768e-01,2.706298676246678969e-01
1.327510971962814201e-02,2.163154034621535271e-01
2.128996232654013498e-01,1.980262119817616517e-01
2.440520195884367527e-01,2.815496808787571470e-01
