x,y
5.617136175817409871e-01,5.677568700587869444e-01
5.506839462272963281e-01,2.565455983681799723e-01
6.469368745249255426e-01,2.429578620443371140e-01
8.574515606979065119e-01,3.209440725553686646e-01
3.262695658884579575e-01,5.329687747808519171e-01
8.360498889954428581e-01,3.148617888845405277e-01
7.217565247878776624e-01,1.620559490762166766e-01
7.256292713216585533e-01,4.513842832080718903e-01
5.470748767617645836e-01,2.239208951060673303e-01
5.470839272084475624e-01,2.364196480797501887e-01
8.787324381400669626e-01,2.221345298804807689e-01
7.146045405107162019e-01,1.531488029001596973e-01
7.430539885254184851e-01,7.530926961327916169e-02
6.218788710466758296e-01,1.321169640183763594e-01
9.051011936257313817e-01,1.782848614298563339e-01
7.362154600466173093e-01,3.443757197903338230e-01
7.149157870040435681e-01,4.439144503520419116e-01
6.078950752124459012e-01,4.169452531416224517e-01
1.000000000000000000e+00,2.219009061589868326e-01
4.047008538817469248e-01,4.854897527910309041e-01
3.584801917455887055e-01,6.149866454678514227e-01
3.510295268406473101e-01,3.397712504660022614e-01
5.399831705428752571e-01,2.727879117978261325e-01
5.256401117849742732e-01,2.078075508420598183e-01
4.044274993041874211e-01,2.550261114578959432e-01
3.940713644006850758e-01,5.839738628203250403e-01
6.539719764518192591e-01,1.472425402385316162e-01
7.181532613006746946e-01,1.403939901378206401e-01
4.544857622042640655e-01,3.680203813410706237e-01
5.399227052153680040e-01,2.148873658171540080e-01
7.182297759092868272e-01,2.235433537884111144e-01
8.823077530084755260e-01,2.331941378859682668e-01
5.079313998552713594e-01,3.170431161522911379e-01
6.829809121424224028e-01,5.917805912058131668e-01
5.828721532715485099e-01,3.655031582897561027e-01
4.579585671776594258e-01,2.863470069922660066e-01
4.295787599631413212e-01,4.087794571026698298e-01
5.898524040019170744e-01,2.241778392808583820e-01
5.292508658640713293e-01,2.407820840294485065e-01
3.442519014578935277e-01,6.413937569067094113e-01
3.690609104719180245e-01,5.078459463801925367e-01
5.398341608682957204e-01,1.462252804316627186e-01
5.827754046121489395e-01,2.602686549303957486e-01
