x,y
6.616942286491394043e-01,7.957668304443359375e-01
6.732788085937500000e-01,8.080934882164001465e-01
8.506578803062438965e-01,7.830256223678588867e-01
8.941802978515625000e-01,7.516664266586303711e-01
9.328525066375732422e-01,7.167306542396545410e-01
6.887494325637817383e-01,7.906826138496398926e-01
6.998039484024047852e-01,8.015980720520019531e-01
8.300321102142333984e-01,7.483505606651306152e-01
8.802051544189453125e-01,7.240362167358398438e-01
9.155287742614746094e-01,6.920346021652221680e-01
7.212400436401367188e-01,7.817321419715881348e-01
7.421128749847412109e-01,7.717591524124145508e-01
8.110569119453430176e-01,7.072077989578247070e-01
8.564367294311523438e-01,6.747034788131713867e-01
8.927289247512817383e-01,6.547077298164367676e-01
6.865920424461364746e-01,1.991105079650878906e-02
7.396517992019653320e-01,2.421355247497558594e-02
8.057882189750671387e-01,3.248196840286254883e-02
8.706198930740356445e-01,3.684708476066589355e-02
9.108045101165771484e-01,5.677461624145507812e-02
6.988333463668823242e-01,2.145883440971374512e-02
7.266182899475097656e-01,2.437108755111694336e-02
7.886220216751098633e-01,3.334873914718627930e-02
8.656054735183715820e-01,4.953837394714355469e-02
8.946772813796997070e-01,5.678653717041015625e-02
6.568865776062011719e-01,7.664705514907836914e-01
6.689265370368957520e-01,7.656319737434387207e-01
8.444788455963134766e-01,7.703630924224853516e-01
9.092084765434265137e-01,7.351374626159667969e-01
9.467363357543945312e-01,6.901795268058776855e-01
6.827054023742675781e-01,7.520970106124877930e-01
6.931640505790710449e-01,7.479254603385925293e-01
8.253790140151977539e-01,7.319906949996948242e-01
8.879960179328918457e-01,7.009391188621520996e-01
9.265711307525634766e-01,6.629559993743896484e-01
7.167870402336120605e-01,7.451605200767517090e-01
7.378020286560058594e-01,7.371369600296020508e-01
8.051782846450805664e-01,6.846479773521423340e-01
8.575318455696105957e-01,6.409770250320434570e-01
8.967155218124389648e-01,6.250670552253723145e-01
6.769022941589355469e-01,4.594424366950988770e-02
7.335041761398315430e-01,6.033465266227722168e-02
8.024220466613769531e-01,7.643887400627136230e-02
8.677391409873962402e-01,1.045157909393310547e-01
9.111124277114868164e-01,1.120506823062896729e-01
6.871104240417480469e-01,5.816873908042907715e-02
7.175288200378417969e-01,5.923581123352050781e-02
7.854889035224914551e-01,6.665492057800292969e-02
8.676848411560058594e-01,8.592447638511657715e-02
8.971545696258544922e-01,9.623110294342041016e-02
6.564545631408691406e-01,6.456837654113769531e-01
6.896970868110656738e-01,6.445054411888122559e-01
7.732520103454589844e-01,6.121079921722412109e-01
9.516050219535827637e-01,5.751544833183288574e-01
9.659452438354492188e-01,5.712457299232482910e-01
6.651924848556518555e-01,6.518662571907043457e-01
6.907429695129394531e-01,6.575590968132019043e-01
7.949273586273193359e-01,5.865391492843627930e-01
9.123488664627075195e-01,5.493836998939514160e-01
9.308831691741943359e-01,5.530288815498352051e-01
6.457061171531677246e-01,3.895968496799468994e-01
6.862334609031677246e-01,3.958070874214172363e-01
8.161450624465942383e-01,4.960719645023345947e-01
8.676110506057739258e-01,5.033309459686279297e-01
8.919723033905029297e-01,5.153654217720031738e-01
6.470671296119689941e-01,3.368856906890869141e-01
6.819887161254882812e-01,3.293131887912750244e-01
8.001849651336669922e-01,1.625617444515228271e-01
8.707585930824279785e-01,1.702511012554168701e-01
9.181506037712097168e-01,1.674908995628356934e-01
6.650897264480590820e-01,1.325591802597045898e-01
6.997357606887817383e-01,1.432711482048034668e-01
7.790462374687194824e-01,1.466174423694610596e-01
8.698922395706176758e-01,1.557038426399230957e-01
9.022102952003479004e-01,1.609245240688323975e-01
6.516330242156982422e-01,5.965940356254577637e-01
6.910611391067504883e-01,5.886068344116210938e-01
7.496683597564697266e-01,5.695507526397705078e-01
9.617322683334350586e-01,5.194488167762756348e-01
9.739615917205810547e-01,5.073916316032409668e-01
6.456952095031738281e-01,5.410677790641784668e-01
6.887277960777282715e-01,5.320025086402893066e-01
7.676180601119995117e-01,5.307455658912658691e-01
9.280880689620971680e-01,4.943176209926605225e-01
9.470009803771972656e-01,4.871423840522766113e-01
6.439855694770812988e-01,4.258381724357604980e-01
6.895389556884765625e-01,4.287745654582977295e-01
7.890026569366455078e-01,4.556157588958740234e-01
