x,y
4.347426891326904297e-01,8.951189517974853516e-01
6.208320260047912598e-01,8.492572307586669922e-01
6.882505416870117188e-01,5.759649872779846191e-01
5.218664407730102539e-01,7.261713743209838867e-01
1.843946874141693115e-01,4.133782088756561279e-01
2.428229749202728271e-01,5.342429876327514648e-02
2.744876146316528320e-01,1.854967772960662842e-01
3.352876305580139160e-01,1.450592279434204102e-01
1.615802645683288574e-01,1.891052722930908203e-01
2.965272665023803711e-01,1.900046169757843018e-01
1.774192750453948975e-01,8.863437175750732422e-02
2.144245654344558716e-01,2.348013818264007568e-01
6.181398630142211914e-01,8.543729782104492188e-01
3.025848865509033203e-01,6.562042832374572754e-01
3.590953648090362549e-01,2.289545536041259766e-01
2.266757935285568237e-01,6.132830977439880371e-01
3.241945505142211914e-01,1.758594512939453125e-01
2.375726550817489624e-01,6.787157058715820312e-01
5.000361204147338867e-01,9.658275842666625977e-01
2.949671447277069092e-01,9.510886669158935547e-01
4.387903213500976562e-01,2.535980641841888428e-01
0.000000000000000000e+00,1.032508909702301025e-01
2.943286895751953125e-01,2.207979261875152588e-01
3.203217387199401855e-01,4.606919884681701660e-01
8.445252776145935059e-01,8.198595046997070312e-01
3.836142122745513916e-01,5.181253552436828613e-01
6.827920675277709961e-02,1.183513998985290527e-01
2.731524109840393066e-01,2.334314882755279541e-01
2.814877033233642578e-01,8.724942207336425781e-01
4.090651869773864746e-02,1.208678781986236572e-01
3.143900632858276367e-01,6.669803261756896973e-01
5.998991131782531738e-01,5.009869337081909180e-01
4.419331252574920654e-01,6.331281065940856934e-01
4.468587040901184082e-01,8.460568785667419434e-01
3.302522301673889160e-01,2.012291252613067627e-01
8.865170478820800781e-01,6.866297125816345215e-01
5.416013598442077637e-01,2.602649033069610596e-01
1.240793168544769287e-01,5.503541231155395508e-02
4.249408841133117676e-01,7.893919944763183594e-01
5.295848250389099121e-01,5.167085528373718262e-01
6.912866830825805664e-01,8.969410657882690430e-01
5.679355859756469727e-01,6.141414046287536621e-01
