x,y
9.435788393020629883e-01,7.453595995903015137e-01
7.864115834236145020e-01,1.094069480895996094e-01
6.788503527641296387e-01,1.518967151641845703e-01
7.451899051666259766e-01,1.631416976451873779e-01
6.403552293777465820e-01,3.439132571220397949e-01
6.219099760055541992e-01,9.659122228622436523e-01
5.067898035049438477e-01,3.154244720935821533e-01
7.759656906127929688e-01,9.283534288406372070e-01
6.518728733062744141e-01,6.664341092109680176e-01
7.488729953765869141e-01,9.773555397987365723e-02
2.412422597408294678e-01,2.833381593227386475e-01
4.175226390361785889e-01,1.982248425483703613e-01
3.082872033119201660e-01,7.389798760414123535e-02
1.820389330387115479e-01,1.603967547416687012e-01
1.445478200912475586e-01,2.827925980091094971e-01
7.496987581253051758e-01,7.850370407104492188e-01
7.325392365455627441e-01,7.203269004821777344e-02
5.546368360519409180e-01,2.846406698226928711e-01
6.328919529914855957e-01,3.186931014060974121e-01
5.584389567375183105e-01,2.509297132492065430e-01
7.352991104125976562e-01,7.859904170036315918e-01
8.081293702125549316e-01,8.150835037231445312e-01
3.300687372684478760e-01,5.908751487731933594e-02
1.406712830066680908e-01,2.424272596836090088e-01
5.348208546638488770e-01,5.578616261482238770e-02
6.568171977996826172e-01,2.127291560173034668e-01
1.288648545742034912e-01,2.505744099617004395e-01
1.149388253688812256e-01,6.203002333641052246e-01
4.332860708236694336e-01,8.230868577957153320e-01
7.055408358573913574e-01,1.470885872840881348e-01
1.576477885246276855e-01,5.779092311859130859e-01
3.645677566528320312e-01,5.639781951904296875e-01
4.429370462894439697e-01,7.095671892166137695e-01
4.563115239143371582e-01,5.015726685523986816e-01
6.574487090110778809e-01,8.033334016799926758e-01
7.727784514427185059e-01,1.490804255008697510e-01
7.631615996360778809e-01,1.404975950717926025e-01
8.407557010650634766e-01,7.299704551696777344e-01
2.626751661300659180e-01,1.430324316024780273e-01
5.672762989997863770e-01,6.582753658294677734e-01
9.201157093048095703e-01,6.752385497093200684e-01
3.495824337005615234e-01,2.907615900039672852e-02
4.049813449382781982e-01,3.299468755722045898e-02
1.865659952163696289e-01,2.254597842693328857e-01
5.271489620208740234e-01,6.509250402450561523e-01
8.303048610687255859e-01,7.999893426895141602e-01
8.073204755783081055e-02,5.037750601768493652e-01
2.896438539028167725e-01,6.261020898818969727e-02
2.789502143859863281e-01,7.591553926467895508e-01
2.427662461996078491e-01,7.600671648979187012e-01
9.619709849357604980e-02,6.023960709571838379e-01
6.183081269264221191e-01,4.722923040390014648e-02
6.561800241470336914e-01,2.123058736324310303e-01
4.581302404403686523e-02,4.435449838638305664e-01
4.920232892036437988e-01,3.494628667831420898e-01
7.892071008682250977e-01,9.555976390838623047e-01
4.667923152446746826e-01,1.419266164302825928e-01
5.571781992912292480e-01,3.152149319648742676e-01
6.559563279151916504e-01,9.048762321472167969e-01
5.630750060081481934e-01,4.854497313499450684e-02
7.660832405090332031e-01,1.635049879550933838e-01
6.359813809394836426e-01,9.446406364440917969e-01
4.182657301425933838e-01,1.491340994834899902e-02
8.508747220039367676e-01,9.043066501617431641e-01
4.185720682144165039e-01,7.119715809822082520e-01
8.300188779830932617e-01,8.062752485275268555e-01
6.837384104728698730e-01,1.268079578876495361e-01
6.000134944915771484e-01,5.560377836227416992e-01
5.471436977386474609e-01,8.545818328857421875e-01
4.881184399127960205e-01,7.998265027999877930e-01
4.783124625682830811e-01,2.204021811485290527e-02
6.908510923385620117e-01,6.212997436523437500e-02
5.018768906593322754e-01,6.219031810760498047e-01
4.986099898815155029e-01,6.228659749031066895e-01
5.438126921653747559e-01,9.290415048599243164e-01
5.494248867034912109e-01,9.250036478042602539e-01
1.161424517631530762e-01,6.255351305007934570e-01
3.717105686664581299e-01,9.881496429443359375e-02
4.385371208190917969e-01,4.985052347183227539e-01
1.288414299488067627e-01,2.505795955657958984e-01
3.464162945747375488e-01,8.209720849990844727e-01
5.988566875457763672e-01,4.625353217124938965e-02
5.799524784088134766e-01,8.000835180282592773e-01
2.083307802677154541e-01,6.817519068717956543e-01
1.715096831321716309e-01,5.992145538330078125e-01
8.787307143211364746e-02,4.830002486705780029e-01
3.326844573020935059e-01,7.774037122726440430e-01
1.665436327457427979e-01,3.883337974548339844e-01
7.623130679130554199e-01,6.493111252784729004e-01
8.845483064651489258e-01,7.707277536392211914e-01
8.080431818962097168e-01,7.967276573181152344e-01
6.518499851226806641e-01,8.594360947608947754e-02
8.366146087646484375e-01,7.534323930740356445e-01
2.548609972000122070e-01,2.782430052757263184e-01
4.363596737384796143e-01,1.281031966209411621e-02
7.968467473983764648e-01,1.569017767906188965e-01
1.668909490108489990e-01,1.658250987529754639e-01
6.863744854927062988e-01,6.135926246643066406e-01
7.380856275558471680e-01,9.968092441558837891e-01
8.728456497192382812e-01,6.791520118713378906e-01
9.058233499526977539e-01,6.786038875579833984e-01
7.527525424957275391e-01,9.795235991477966309e-01
7.102074027061462402e-01,7.205741405487060547e-01
7.804737687110900879e-01,6.814233064651489258e-01
6.304821372032165527e-01,8.116536736488342285e-01
4.321967363357543945e-01,2.318326532840728760e-01
7.574447393417358398e-01,8.943705558776855469e-01
4.423957169055938721e-01,1.240056455135345459e-01
5.376339554786682129e-01,6.044709086418151855e-01
8.283376097679138184e-01,7.489797472953796387e-01
2.952488660812377930e-01,7.976683974266052246e-02
6.268276572227478027e-01,4.386177957057952881e-01
4.647237062454223633e-01,9.269373416900634766e-01
6.532179713249206543e-01,5.099290013313293457e-01
