x,y
9.616073369979858398e-01,8.024531006813049316e-01
9.587029218673706055e-01,9.798138737678527832e-01
9.345486164093017578e-01,9.898151159286499023e-01
9.276067614555358887e-01,9.945822954177856445e-01
8.893011808395385742e-01,9.999752044677734375e-01
9.684455394744873047e-01,8.252536058425903320e-01
9.124677181243896484e-01,9.813644886016845703e-01
1.000000000000000000e+00,9.615572690963745117e-01
9.601647853851318359e-01,8.159473538398742676e-01
8.418442010879516602e-01,9.911954998970031738e-01
9.797823429107666016e-01,9.414665699005126953e-01
9.326800704002380371e-01,9.633432626724243164e-01
8.239287137985229492e-01,1.000000119209289551e+00
8.266153335571289062e-01,9.785937070846557617e-01
8.186223506927490234e-01,9.889786243438720703e-01
9.434952735900878906e-01,9.347808361053466797e-01
8.527082204818725586e-01,9.661748409271240234e-01
7.769310474395751953e-01,9.911736249923706055e-01
9.141991138458251953e-01,9.467445611953735352e-01
6.786732077598571777e-01,9.857617616653442383e-01
9.012985825538635254e-01,9.379068017005920410e-01
9.458922147750854492e-01,9.218006134033203125e-01
9.129058122634887695e-01,8.722153306007385254e-01
8.653833866119384766e-01,9.500871896743774414e-01
7.681982517242431641e-01,9.630979299545288086e-01
8.011130690574645996e-01,9.633650779724121094e-01
7.147430777549743652e-01,9.862155914306640625e-01
9.611793756484985352e-01,9.148045778274536133e-01
9.519103765487670898e-01,8.989132642745971680e-01
7.106833457946777344e-01,9.651441574096679688e-01
6.424612998962402344e-01,9.767284393310546875e-01
8.958547115325927734e-01,9.237843751907348633e-01
9.202086925506591797e-01,9.176514148712158203e-01
8.485675454139709473e-01,9.420883655548095703e-01
6.679370403289794922e-01,9.784097671508789062e-01
5.680072903633117676e-01,9.684942960739135742e-01
9.663581848144531250e-01,8.846804499626159668e-01
8.877112865447998047e-01,8.897021412849426270e-01
8.126059174537658691e-01,9.460322856903076172e-01
9.266142249107360840e-01,9.065899848937988281e-01
8.446326255798339844e-01,9.288370013236999512e-01
7.876641154289245605e-01,9.232116937637329102e-01
8.401823639869689941e-01,8.119584321975708008e-01
8.448799848556518555e-01,9.280617237091064453e-01
8.784313201904296875e-01,9.106069803237915039e-01
6.261242628097534180e-01,9.824352264404296875e-01
6.228337287902832031e-01,9.581820368766784668e-01
7.687129974365234375e-01,9.134509563446044922e-01
7.431950569152832031e-01,9.463938474655151367e-01
4.514486193656921387e-01,8.996340632438659668e-01
8.931099772453308105e-01,9.035524725914001465e-01
8.793567419052124023e-01,8.682501316070556641e-01
7.450829744338989258e-01,9.462193250656127930e-01
6.317533254623413086e-01,9.322380423545837402e-01
7.697900533676147461e-01,8.485492467880249023e-01
6.582430005073547363e-01,9.651175141334533691e-01
8.511598706245422363e-01,9.045736193656921387e-01
8.386355638504028320e-01,7.935146093368530273e-01
8.307756185531616211e-01,9.106796979904174805e-01
4.151601493358612061e-01,9.046261310577392578e-01
7.269796133041381836e-01,9.130551815032958984e-01
8.771886229515075684e-01,7.742184400558471680e-01
4.790697693824768066e-01,8.792355060577392578e-01
8.447199463844299316e-01,8.605764508247375488e-01
8.425115346908569336e-01,8.410128355026245117e-01
5.451787710189819336e-01,8.736480474472045898e-01
8.740698099136352539e-01,7.734294533729553223e-01
8.063901066780090332e-01,8.755304813385009766e-01
7.749215960502624512e-01,8.349298238754272461e-01
7.510269284248352051e-01,8.583076000213623047e-01
6.910615563392639160e-01,9.292799234390258789e-01
6.616836786270141602e-01,9.118642807006835938e-01
5.952743887901306152e-01,8.769583106040954590e-01
7.098045945167541504e-01,8.912693262100219727e-01
7.028564810752868652e-01,8.853778839111328125e-01
1.679861843585968018e-01,6.518077254295349121e-01
6.145673990249633789e-01,8.565348386764526367e-01
6.973376274108886719e-01,8.285462856292724609e-01
5.510322451591491699e-01,8.603435754776000977e-01
1.596710979938507080e-01,6.388239860534667969e-01
6.231397390365600586e-01,9.068372249603271484e-01
4.649466574192047119e-01,8.670654296875000000e-01
6.135950088500976562e-01,8.937720060348510742e-01
6.744287610054016113e-01,8.783022165298461914e-01
6.617319583892822266e-01,8.281276226043701172e-01
5.739683508872985840e-01,9.354511499404907227e-01
5.919312238693237305e-01,8.564182519912719727e-01
