x,y
3.093170523643493652e-01,8.231202960014343262e-01
7.846602201461791992e-01,5.816137194633483887e-01
8.086587190628051758e-01,6.181636452674865723e-01
6.870019435882568359e-01,5.653083920478820801e-01
7.730654478073120117e-01,6.733293533325195312e-01
9.395653605461120605e-01,6.852639913558959961e-01
7.530280351638793945e-01,6.809496283531188965e-01
7.451918721199035645e-01,7.222089767456054688e-01
3.866246342658996582e-01,7.752447128295898438e-01
6.966096758842468262e-01,7.914417982101440430e-01
9.265496134757995605e-01,7.444283962249755859e-01
6.593971252441406250e-01,8.546990156173706055e-01
9.067606925964355469e-01,7.559618949890136719e-01
7.232521176338195801e-01,8.416690230369567871e-01
6.954674720764160156e-01,9.207053780555725098e-01
7.141922116279602051e-01,8.681546449661254883e-01
6.452590227127075195e-01,9.044414758682250977e-01
2.324562221765518188e-01,8.380153179168701172e-01
3.236052393913269043e-01,7.830024957656860352e-01
5.983598232269287109e-01,7.153978943824768066e-01
5.904139876365661621e-01,7.635230422019958496e-01
1.956728100776672363e-01,8.607052564620971680e-01
5.943479537963867188e-01,8.237969875335693359e-01
6.525980830192565918e-01,8.528033494949340820e-01
6.620932817459106445e-01,6.489849686622619629e-01
6.622076034545898438e-01,7.996916770935058594e-01
6.282855272293090820e-01,6.160780787467956543e-01
6.914234757423400879e-01,8.265459537506103516e-01
6.713047623634338379e-01,9.366374015808105469e-01
6.464018225669860840e-01,7.377740740776062012e-01
6.359778642654418945e-01,9.070197343826293945e-01
6.954961419105529785e-01,8.824934959411621094e-01
6.392481327056884766e-01,8.219575285911560059e-01
6.951209306716918945e-01,9.422588348388671875e-01
6.162252426147460938e-01,8.708543777465820312e-01
6.088993549346923828e-01,6.486958861351013184e-01
3.557593524456024170e-01,7.390439510345458984e-01
6.254861354827880859e-01,8.592069149017333984e-01
1.912487447261810303e-01,8.140669465065002441e-01
1.912487447261810303e-01,8.140669465065002441e-01
6.163246631622314453e-01,8.912129402160644531e-01
6.684883236885070801e-01,9.009379148483276367e-01
5.964749455451965332e-01,6.548363566398620605e-01
2.134516090154647827e-01,7.603213787078857422e-01
5.867239236831665039e-01,8.759491443634033203e-01
3.734598159790039062e-01,7.030367851257324219e-01
5.327061414718627930e-01,6.573333144187927246e-01
1.898714005947113037e-01,7.778166532516479492e-01
2.099314332008361816e-01,7.088558077812194824e-01
3.900749981403350830e-01,7.084402441978454590e-01
1.864264607429504395e-01,7.480890750885009766e-01
4.469221830368041992e-01,7.007851600646972656e-01
4.419266879558563232e-01,5.581871271133422852e-01
4.559626579284667969e-01,5.551584362983703613e-01
4.551802277565002441e-01,5.521345734596252441e-01
5.721044540405273438e-01,9.963241815567016602e-01
6.944741606712341309e-01,7.593858838081359863e-01
6.754363775253295898e-01,8.148352503776550293e-01
7.531453967094421387e-01,6.375640630722045898e-01
7.011847496032714844e-01,6.141637563705444336e-01
4.287785887718200684e-01,8.452062606811523438e-01
3.364367485046386719e-01,7.474856972694396973e-01
2.351267486810684204e-01,7.499226927757263184e-01
2.174789756536483765e-01,8.026355504989624023e-01
2.355537265539169312e-01,7.311995029449462891e-01
2.621163725852966309e-01,7.533663511276245117e-01
2.254407107830047607e-01,6.857703924179077148e-01
2.267794311046600342e-01,6.808148026466369629e-01
2.299583256244659424e-01,6.908416152000427246e-01
1.990419030189514160e-01,7.055374383926391602e-01
9.104546308517456055e-01,9.208236336708068848e-01
8.260393738746643066e-01,9.276885986328125000e-01
8.645367622375488281e-01,6.786316633224487305e-01
8.319640159606933594e-01,5.947365164756774902e-01
8.815398216247558594e-01,6.864679455757141113e-01
8.805944919586181641e-01,6.873338222503662109e-01
7.684583663940429688e-01,4.981936216354370117e-01
8.921003341674804688e-01,6.261980533599853516e-01
7.816946506500244141e-01,5.896929502487182617e-01
9.479217529296875000e-01,6.186258196830749512e-01
9.540891647338867188e-01,5.929772257804870605e-01
8.352609872817993164e-01,6.773216724395751953e-01
7.361620664596557617e-01,6.098865270614624023e-01
8.789448142051696777e-01,6.221900582313537598e-01
9.306894540786743164e-01,8.923279047012329102e-01
7.436531186103820801e-01,5.608497262001037598e-01
8.192585706710815430e-01,7.107290029525756836e-01
7.889366149902343750e-01,5.308767557144165039e-01
8.799247741699218750e-01,6.358986496925354004e-01
9.659031629562377930e-01,7.221640348434448242e-01
4.877567291259765625e-01,7.374774813652038574e-01
7.789844274520874023e-01,7.961646318435668945e-01
8.057845234870910645e-01,7.739995718002319336e-01
8.083423972129821777e-01,7.316749095916748047e-01
8.806489706039428711e-01,7.887023091316223145e-01
4.191805422306060791e-01,6.632806062698364258e-01
4.758675992488861084e-01,7.298663854598999023e-01
6.023323535919189453e-01,9.876473546028137207e-01
5.035868287086486816e-01,4.953596889972686768e-01
4.844568669795989990e-01,5.506717562675476074e-01
4.952344298362731934e-01,5.136170387268066406e-01
5.122948288917541504e-01,5.291503667831420898e-01
5.649701356887817383e-01,1.000000000000000000e+00
1.380794346332550049e-01,6.945478320121765137e-01
1.458702087402343750e-01,6.894766688346862793e-01
4.066696763038635254e-02,3.385754525661468506e-01
2.172905206680297852e-02,3.729996085166931152e-01
0.000000000000000000e+00,3.000895678997039795e-01
1.171257793903350830e-01,2.608933150768280029e-01
1.052061617374420166e-01,2.417109608650207520e-01
1.190137863159179688e-02,3.289898037910461426e-01
8.470386266708374023e-03,3.289676904678344727e-01
2.427104115486145020e-02,3.071973621845245361e-01
6.999087333679199219e-01,5.258159637451171875e-01
6.381990909576416016e-01,5.096575617790222168e-01
6.784714460372924805e-01,5.038078427314758301e-01
6.617489457130432129e-01,4.950146675109863281e-01
8.792899847030639648e-01,8.984951972961425781e-01
7.824167609214782715e-01,4.788105189800262451e-01
7.678373456001281738e-01,5.122480392456054688e-01
6.516306400299072266e-01,5.271902084350585938e-01
9.242294430732727051e-01,6.670705676078796387e-01
8.391090631484985352e-01,6.066436171531677246e-01
8.022295236587524414e-01,5.094195604324340820e-01
6.422396898269653320e-01,6.706450581550598145e-01
5.733679533004760742e-01,7.331969141960144043e-01
6.043670177459716797e-01,7.840861082077026367e-01
2.640674710273742676e-01,4.183254241943359375e-01
2.578407227993011475e-01,4.061248898506164551e-01
1.960115432739257812e-01,3.247439563274383545e-01
1.552339792251586914e-01,2.949005961418151855e-01
4.411861300468444824e-02,2.893576622009277344e-01
6.961163878440856934e-01,5.042188167572021484e-01
8.390190005302429199e-01,9.245429039001464844e-01
7.156325578689575195e-01,5.746406316757202148e-01
6.431571245193481445e-01,4.903873503208160400e-01
7.223595976829528809e-01,7.691510915756225586e-01
9.081536531448364258e-01,6.551097631454467773e-01
8.928433656692504883e-01,7.370616793632507324e-01
9.069489240646362305e-01,6.964563131332397461e-01
7.956982851028442383e-01,5.090413689613342285e-01
6.726983785629272461e-01,6.839816570281982422e-01
9.287003874778747559e-01,7.229126095771789551e-01
9.152448177337646484e-01,5.830273628234863281e-01
5.059847831726074219e-01,6.036915183067321777e-01
5.436276197433471680e-01,7.728314995765686035e-01
4.339131712913513184e-01,8.472267389297485352e-01
6.665193438529968262e-01,5.987589359283447266e-01
6.373897194862365723e-01,6.206554174423217773e-01
6.577419042587280273e-01,9.778659343719482422e-01
8.491636514663696289e-01,4.923511147499084473e-01
2.169746905565261841e-01,8.235927224159240723e-01
4.251452684402465820e-01,8.783061504364013672e-01
6.693105697631835938e-01,6.176250576972961426e-01
5.639979243278503418e-01,7.950743436813354492e-01
6.521443724632263184e-01,7.776291370391845703e-01
5.708582401275634766e-01,6.391661167144775391e-01
2.036002576351165771e-01,7.872065305709838867e-01
3.848482966423034668e-01,6.866526007652282715e-01
3.764633536338806152e-01,6.783381700515747070e-01
4.001218974590301514e-01,6.811012625694274902e-01
4.193440675735473633e-01,8.689644336700439453e-01
2.441766262054443359e-01,8.262331485748291016e-01
1.000000000000000000e+00,8.905516266822814941e-01
2.173148989677429199e-01,3.973514735698699951e-01
8.774891495704650879e-02,4.052746891975402832e-01
8.607372641563415527e-02,4.044475257396697998e-01
1.050493717193603516e-01,3.168918788433074951e-01
1.342391371726989746e-01,3.358417153358459473e-01
1.136500239372253418e-01,2.923617959022521973e-01
7.792830467224121094e-02,2.895722091197967529e-01
5.892202258110046387e-01,2.698459029197692871e-01
5.891425609588623047e-01,2.697584927082061768e-01
7.023039460182189941e-02,2.933202981948852539e-01
2.232312262058258057e-01,3.964005112648010254e-01
1.124667525291442871e-01,3.027547001838684082e-01
2.902673482894897461e-01,4.051736593246459961e-01
2.954937815666198730e-01,4.180101752281188965e-01
3.007794618606567383e-01,3.911515176296234131e-01
2.999708652496337891e-01,3.869113326072692871e-01
3.378237187862396240e-01,2.925873994827270508e-01
1.961918175220489502e-01,2.225294709205627441e-01
1.467337310314178467e-01,2.528274059295654297e-01
1.145530045032501221e-01,2.415331304073333740e-01
3.279395699501037598e-01,1.325344741344451904e-01
9.843404293060302734e-01,8.761404752731323242e-01
9.913402199745178223e-01,8.838641643524169922e-01
4.295375347137451172e-01,6.853017807006835938e-01
2.470023632049560547e-01,5.252398252487182617e-01
2.511470615863800049e-01,5.300814509391784668e-01
3.207458853721618652e-01,3.325224518775939941e-01
2.437256872653961182e-01,1.204172670841217041e-01
2.216661125421524048e-01,1.500866115093231201e-01
2.525850832462310791e-01,6.820452213287353516e-02
2.375492304563522339e-01,7.103246450424194336e-02
2.056351304054260254e-01,1.137163341045379639e-01
1.884095966815948486e-01,1.284229159355163574e-01
2.298154532909393311e-01,1.113566458225250244e-01
2.155898660421371460e-01,1.253221929073333740e-01
2.464313805103302002e-01,1.470583975315093994e-01
2.806507647037506104e-01,1.160131096839904785e-01
1.477867960929870605e-01,3.695200383663177490e-01
2.704554498195648193e-01,1.356158256530761719e-01
2.643823325634002686e-01,4.475975036621093750e-02
2.552332580089569092e-01,1.181156933307647705e-01
2.786064743995666504e-01,7.694214582443237305e-02
2.589887380599975586e-01,8.611291646957397461e-02
2.768191695213317871e-01,0.000000000000000000e+00
2.024694383144378662e-01,1.523567140102386475e-01
1.930693089962005615e-01,9.499296545982360840e-02
2.761061787605285645e-01,6.364226341247558594e-02
2.410364449024200439e-01,4.103523492813110352e-02
2.278856635093688965e-01,4.918295145034790039e-02
2.170003056526184082e-01,6.196254491806030273e-02
