x,y
9.338147640228271484e-01,8.322683572769165039e-01
8.579713106155395508e-01,9.999999403953552246e-01
7.308480143547058105e-01,4.599131345748901367e-01
9.604804515838623047e-01,4.266803860664367676e-01
8.562827706336975098e-01,4.458115398883819580e-01
1.254472136497497559e-01,1.082346439361572266e-01
7.128384113311767578e-01,4.369623661041259766e-01
3.592035174369812012e-01,3.971028029918670654e-01
7.395355105400085449e-01,7.142733335494995117e-01
8.700839877128601074e-01,9.555180668830871582e-01
6.143690943717956543e-01,2.804167270660400391e-01
7.952210307121276855e-01,2.167919427156448364e-01
5.318835973739624023e-01,2.312175631523132324e-01
6.577607989311218262e-01,3.192198276519775391e-01
7.529014945030212402e-01,7.897735238075256348e-01
5.709499120712280273e-02,8.146470785140991211e-02
9.419450759887695312e-01,7.712606191635131836e-01
2.421544194221496582e-01,1.467191427946090698e-01
2.530502676963806152e-01,3.036404252052307129e-01
3.145947754383087158e-01,7.310304045677185059e-02
2.168774008750915527e-01,3.363937437534332275e-01
5.340989232063293457e-01,3.262767791748046875e-01
6.865864992141723633e-01,8.243325948715209961e-01
2.757673263549804688e-01,2.474528402090072632e-01
7.078866958618164062e-01,7.277706861495971680e-01
7.289376258850097656e-01,5.086765289306640625e-01
6.644783020019531250e-01,2.680870294570922852e-01
6.946887373924255371e-01,7.662720680236816406e-01
4.125185608863830566e-01,2.969953715801239014e-01
8.314316272735595703e-01,4.442726075649261475e-01
6.249273419380187988e-01,3.158187568187713623e-01
3.898069858551025391e-01,6.298139691352844238e-01
4.001933336257934570e-01,1.575780957937240601e-01
8.923064470291137695e-01,7.206466197967529297e-01
1.551211178302764893e-01,2.124244421720504761e-01
6.593992710113525391e-01,4.457919299602508545e-01
1.714206635951995850e-01,2.358466088771820068e-01
9.302616119384765625e-01,5.784079432487487793e-01
1.719619631767272949e-01,8.556753396987915039e-02
4.560071825981140137e-01,1.793298572301864624e-01
5.438897013664245605e-01,1.978724896907806396e-01
3.130041956901550293e-01,1.603745818138122559e-01
