x,y
5.989767313003540039e-01,8.206570148468017578e-02
2.153751850128173828e-01,3.783712983131408691e-01
5.785495042800903320e-01,2.373404204845428467e-01
3.149945735931396484e-01,5.146278738975524902e-01
5.554774999618530273e-01,8.639299869537353516e-02
1.852779984474182129e-01,5.488748550415039062e-01
5.903961658477783203e-01,5.062195658683776855e-02
2.868340909481048584e-01,5.174437761306762695e-01
6.402306556701660156e-01,4.909646511077880859e-02
2.121745049953460693e-01,5.750832557678222656e-01
6.255372762680053711e-01,3.469863533973693848e-02
8.029611110687255859e-01,8.318591117858886719e-02
6.796023249626159668e-01,5.875477194786071777e-02
9.233880639076232910e-01,1.750976145267486572e-01
8.161805868148803711e-01,4.033270180225372314e-01
2.189988344907760620e-01,3.648110926151275635e-01
7.630479335784912109e-01,3.947194218635559082e-01
9.795168042182922363e-02,5.054969191551208496e-01
5.092548131942749023e-01,4.461172819137573242e-01
4.608428180217742920e-01,7.037236094474792480e-01
7.167837619781494141e-01,8.389949798583984375e-02
3.335744142532348633e-02,4.692313969135284424e-01
6.374547481536865234e-01,3.671827614307403564e-01
5.805054306983947754e-02,5.178788304328918457e-01
7.211844921112060547e-01,1.223708689212799072e-01
6.592369079589843750e-01,0.000000000000000000e+00
5.962143540382385254e-01,2.237945795059204102e-02
2.060387134552001953e-01,4.907123148441314697e-01
6.687371730804443359e-01,7.076510190963745117e-01
2.824074327945709229e-01,3.318896889686584473e-01
7.074639797210693359e-01,5.686998367309570312e-02
9.999999403953552246e-01,2.573955059051513672e-01
6.416850686073303223e-01,6.603109836578369141e-02
6.271361112594604492e-01,1.921395659446716309e-01
9.849079847335815430e-01,2.360966503620147705e-01
9.930838942527770996e-01,2.397231906652450562e-01
7.894204258918762207e-01,1.696269810199737549e-01
2.808546423912048340e-01,5.769277811050415039e-01
7.428491115570068359e-01,4.024630486965179443e-01
6.822483539581298828e-01,4.790941476821899414e-01
6.051861047744750977e-01,7.218749523162841797e-01
1.527243852615356445e-02,5.453463196754455566e-01
5.680297613143920898e-01,7.310942411422729492e-01
6.299685835838317871e-01,2.412949502468109131e-01
6.486040353775024414e-01,4.612493515014648438e-02
0.000000000000000000e+00,6.047552824020385742e-01
7.194257974624633789e-01,8.362159132957458496e-02
3.732812702655792236e-01,5.998357534408569336e-01
7.607541680335998535e-01,1.504229903221130371e-01
4.873326420783996582e-02,4.623250365257263184e-01
6.678215861320495605e-01,2.049014270305633545e-01
3.035694360733032227e-01,4.699062705039978027e-01
