x,y
8.922121524810791016e-01,9.428402185440063477e-01
9.564715623855590820e-01,8.930829763412475586e-01
8.806226849555969238e-01,8.959687948226928711e-01
9.063012599945068359e-01,8.873450756072998047e-01
9.139518737792968750e-01,9.458816051483154297e-01
9.215161800384521484e-01,9.810969829559326172e-01
8.560423851013183594e-01,8.992061614990234375e-01
9.171342849731445312e-01,9.305599927902221680e-01
9.038804173469543457e-01,8.728541135787963867e-01
9.396178722381591797e-01,9.043787717819213867e-01
8.806269168853759766e-01,9.712436795234680176e-01
9.444633722305297852e-01,9.198341369628906250e-01
9.389552474021911621e-01,8.889681696891784668e-01
8.644712567329406738e-01,8.708283901214599609e-01
8.660062551498413086e-01,9.951880574226379395e-01
9.000839591026306152e-01,9.999998807907104492e-01
8.913242220878601074e-01,9.829080700874328613e-01
9.053156375885009766e-01,9.446752667427062988e-01
8.595204353332519531e-01,9.848690629005432129e-01
9.319326877593994141e-01,9.657870531082153320e-01
8.449668288230895996e-01,9.580317139625549316e-01
9.356042146682739258e-01,9.590548872947692871e-01
8.075842857360839844e-01,9.020221829414367676e-01
9.810397624969482422e-01,9.382891654968261719e-01
1.000000000000000000e+00,9.216045737266540527e-01
9.818723201751708984e-01,9.023087620735168457e-01
9.550297856330871582e-01,9.363129138946533203e-01
8.908583521842956543e-01,9.515486359596252441e-01
8.704895973205566406e-01,9.426472187042236328e-01
9.136010408401489258e-01,9.006321430206298828e-01
9.565230607986450195e-01,8.999307751655578613e-01
8.517119884490966797e-01,9.572824239730834961e-01
9.392184019088745117e-01,9.857466220855712891e-01
9.062402844429016113e-01,9.942312240600585938e-01
9.396178722381591797e-01,9.043787717819213867e-01
8.750888109207153320e-01,9.149314165115356445e-01
8.401613235473632812e-01,9.669958949089050293e-01
9.396178722381591797e-01,9.043787717819213867e-01
8.838653564453125000e-01,8.753690719604492188e-01
9.074091911315917969e-01,9.363880157470703125e-01
8.777161240577697754e-01,9.345816969871520996e-01
9.413959980010986328e-01,8.638809323310852051e-01
8.569506406784057617e-01,8.823392391204833984e-01
9.785594344139099121e-01,9.466258287429809570e-01
9.784917235374450684e-01,9.698637127876281738e-01
9.403325915336608887e-01,8.882166147232055664e-01
9.378481507301330566e-01,9.674165248870849609e-01
8.826906681060791016e-01,8.908638954162597656e-01
8.945872187614440918e-01,9.672014713287353516e-01
9.013961553573608398e-01,9.226629734039306641e-01
3.525949120521545410e-01,1.315948069095611572e-01
3.141990303993225098e-01,1.613709926605224609e-01
3.256487846374511719e-01,1.258476376533508301e-01
3.611689805984497070e-01,2.559553384780883789e-01
3.051624894142150879e-01,1.516781151294708252e-01
3.522233366966247559e-01,2.134429514408111572e-01
2.679136693477630615e-01,1.597355902194976807e-01
3.758536577224731445e-01,2.846444249153137207e-01
3.342273235321044922e-01,1.498921513557434082e-01
4.055421352386474609e-01,2.530969381332397461e-01
3.843915462493896484e-01,2.813444733619689941e-01
3.182265162467956543e-01,2.105065286159515381e-01
2.738301455974578857e-01,2.546636462211608887e-01
2.756055593490600586e-01,1.762275695800781250e-01
3.830038309097290039e-01,2.588053941726684570e-01
3.565905690193176270e-01,1.500434279441833496e-01
3.689620494842529297e-01,2.096497118473052979e-01
3.082246184349060059e-01,2.405667155981063843e-01
1.886678338050842285e-01,2.008132040500640869e-01
