x,y
7.160933613777160645e-01,3.073869943618774414e-01
8.726702928543090820e-01,3.638075292110443115e-01
6.755874156951904297e-01,2.333852946758270264e-01
5.452494621276855469e-01,5.434381961822509766e-02
5.203658342361450195e-01,9.212678670883178711e-02
4.950217008590698242e-01,3.154131770133972168e-02
4.311292171478271484e-01,1.221594512462615967e-01
4.529898166656494141e-01,5.291739106178283691e-02
4.512099027633666992e-01,5.445957183837890625e-02
5.351094007492065430e-01,2.754740118980407715e-01
5.330163836479187012e-01,4.722177982330322266e-03
4.169624745845794678e-01,1.306286752223968506e-01
8.951530456542968750e-01,3.704776763916015625e-01
5.137485265731811523e-01,2.593458890914916992e-01
4.079891741275787354e-01,1.142170131206512451e-01
6.841832399368286133e-01,2.653374969959259033e-01
7.341946959495544434e-01,3.134328126907348633e-01
4.410628676414489746e-01,9.636819362640380859e-02
6.992664933204650879e-01,3.077188134193420410e-01
9.396215677261352539e-01,3.865046501159667969e-01
4.951620399951934814e-01,5.950659513473510742e-02
5.596947669982910156e-01,3.755566775798797607e-01
5.516385436058044434e-01,2.073121070861816406e-02
5.318443775177001953e-01,2.704634964466094971e-01
5.442436933517456055e-01,3.138976693153381348e-01
6.356445550918579102e-01,3.848739862442016602e-01
5.160726904869079590e-01,1.430767774581909180e-02
7.107502222061157227e-01,2.892920672893524170e-01
6.279366016387939453e-01,3.350204825401306152e-01
5.396709442138671875e-01,3.468832671642303467e-01
4.546937346458435059e-02,9.254863262176513672e-01
6.842926144599914551e-02,8.882180452346801758e-01
1.343546211719512939e-01,9.184911251068115234e-01
6.983205676078796387e-02,8.313059806823730469e-01
5.051851272583007812e-03,8.737471699714660645e-01
5.601584911346435547e-02,9.443475604057312012e-01
2.166166901588439941e-02,9.408600330352783203e-01
1.661992669105529785e-01,9.545320272445678711e-01
1.530677676200866699e-01,9.751276373863220215e-01
3.958481550216674805e-02,9.701523780822753906e-01
1.583477556705474854e-01,9.315654039382934570e-01
1.265963912010192871e-01,1.000000000000000000e+00
3.377869725227355957e-02,8.635125160217285156e-01
4.942733049392700195e-02,8.916938304901123047e-01
9.893375635147094727e-02,8.712297081947326660e-01
4.032781720161437988e-02,9.167188405990600586e-01
6.917536258697509766e-03,9.239276647567749023e-01
7.329744100570678711e-02,9.481078982353210449e-01
4.804366827011108398e-02,8.180632591247558594e-01
7.953494787216186523e-02,9.676549434661865234e-01
1.343867480754852295e-01,9.420439600944519043e-01
0.000000000000000000e+00,9.011967778205871582e-01
8.787530660629272461e-02,9.108695983886718750e-01
1.098237931728363037e-01,8.959699869155883789e-01
5.107760429382324219e-02,8.621635437011718750e-01
1.163428425788879395e-01,9.215896129608154297e-01
1.209672093391418457e-01,9.573016762733459473e-01
9.663057327270507812e-02,9.403758049011230469e-01
1.049176752567291260e-01,9.702308177947998047e-01
7.074299454689025879e-02,9.181247353553771973e-01
6.427311897277832031e-01,2.309591323137283325e-01
5.153760313987731934e-01,5.815532803535461426e-02
5.014302730560302734e-01,1.279412806034088135e-01
4.756651520729064941e-01,9.666359424591064453e-02
5.288240313529968262e-01,1.247124671936035156e-01
5.133370161056518555e-01,1.456536948680877686e-01
3.116329312324523926e-01,4.698809981346130371e-02
7.351493835449218750e-01,2.792590856552124023e-01
4.516609907150268555e-01,2.444538325071334839e-01
3.703840672969818115e-01,7.131841778755187988e-02
4.088183939456939697e-01,7.589378952980041504e-02
6.050355434417724609e-01,1.595979630947113037e-01
3.561881184577941895e-01,5.270446538925170898e-01
5.608309507369995117e-01,3.628453612327575684e-02
6.586343050003051758e-01,2.007783353328704834e-01
4.772656261920928955e-01,9.457448124885559082e-02
5.546578168869018555e-01,1.567308604717254639e-01
3.471930921077728271e-01,5.157067179679870605e-01
5.346660017967224121e-01,1.450982689857482910e-01
4.618448615074157715e-01,2.384680509567260742e-01
9.483731985092163086e-01,3.578253388404846191e-01
9.554989337921142578e-01,3.850595355033874512e-01
6.584945917129516602e-01,2.289836704730987549e-01
3.278531730175018311e-01,5.656176805496215820e-02
1.000000000000000000e+00,4.146459698677062988e-01
5.480412244796752930e-01,1.339721977710723877e-01
4.791117608547210693e-01,2.325813174247741699e-01
7.342503666877746582e-01,2.882347106933593750e-01
7.081529498100280762e-01,2.618696689605712891e-01
5.279777646064758301e-01,4.728707671165466309e-02
6.588135361671447754e-01,5.574590563774108887e-01
6.728309988975524902e-01,5.259611010551452637e-01
5.334364771842956543e-01,4.910515844821929932e-01
4.111225008964538574e-01,2.526125907897949219e-01
6.370226740837097168e-01,5.494342446327209473e-01
4.008458256721496582e-01,4.506444036960601807e-01
6.596035361289978027e-01,6.184403896331787109e-01
6.373474597930908203e-01,5.420088171958923340e-01
7.056348323822021484e-01,5.847876071929931641e-01
6.979948282241821289e-01,5.719704627990722656e-01
6.166347265243530273e-01,4.316900074481964111e-01
6.027081012725830078e-01,5.448632240295410156e-01
6.257653236389160156e-01,3.255101442337036133e-01
4.179168641567230225e-01,5.004888772964477539e-01
7.276700735092163086e-01,6.166772246360778809e-01
4.952232539653778076e-01,0.000000000000000000e+00
4.025991261005401611e-01,4.997760653495788574e-01
5.148038864135742188e-01,4.925503730773925781e-01
7.871921062469482422e-01,4.571866393089294434e-01
7.624626755714416504e-01,3.396322429180145264e-01
5.659148693084716797e-01,5.146580934524536133e-01
6.387344598770141602e-01,5.069479942321777344e-01
5.715099573135375977e-01,4.691103994846343994e-01
6.968591809272766113e-01,5.833659172058105469e-01
