x,y
7.387361526489257812e-01,4.036250710487365723e-01
1.724147647619247437e-01,9.816678166389465332e-01
1.263607144355773926e-01,4.956242740154266357e-01
8.709056973457336426e-01,9.753581881523132324e-02
2.494540363550186157e-01,2.718199789524078369e-01
1.892831623554229736e-01,1.000000000000000000e+00
3.153756260871887207e-02,7.129346132278442383e-01
3.966215252876281738e-01,5.402862429618835449e-01
4.587562084197998047e-01,5.066054463386535645e-01
3.721024096012115479e-01,3.376111686229705811e-01
6.355379819869995117e-01,1.816973686218261719e-01
4.641824662685394287e-01,4.933868646621704102e-01
9.154176712036132812e-02,7.560763359069824219e-01
5.824307203292846680e-01,4.222457408905029297e-01
5.263211727142333984e-01,4.459651112556457520e-01
7.766520977020263672e-01,3.470206558704376221e-01
8.294537663459777832e-01,1.428296267986297607e-01
5.360254645347595215e-02,8.166277408599853516e-01
7.082729339599609375e-01,2.906387746334075928e-01
2.104913443326950073e-01,9.239190816879272461e-01
2.246865183115005493e-01,4.765846729278564453e-01
9.152241945266723633e-01,1.761214733123779297e-01
9.028089046478271484e-01,1.453233063220977783e-01
6.628865003585815430e-01,1.897322833538055420e-01
8.492937088012695312e-01,2.462721765041351318e-01
6.899901032447814941e-01,2.194991707801818848e-01
2.073660641908645630e-01,7.479423880577087402e-01
2.727071344852447510e-01,3.686943650245666504e-01
1.147246956825256348e-01,7.910865545272827148e-01
2.676948010921478271e-01,2.719310522079467773e-01
4.848163723945617676e-01,3.391800522804260254e-01
3.089178204536437988e-01,2.306187450885772705e-01
1.279691308736801147e-01,7.018028497695922852e-01
4.180740714073181152e-01,6.839833855628967285e-01
3.536760807037353516e-01,7.619385123252868652e-01
4.339652061462402344e-01,4.356489181518554688e-01
6.610836982727050781e-01,2.826226353645324707e-01
6.214505434036254883e-01,2.719593048095703125e-01
5.712318420410156250e-01,1.768558323383331299e-01
6.414662599563598633e-01,2.657375931739807129e-01
6.006188988685607910e-01,1.818291842937469482e-01
6.539487838745117188e-01,2.036367356777191162e-01
7.458686828613281250e-01,2.829431295394897461e-01
7.511408925056457520e-01,2.940190434455871582e-01
8.927989006042480469e-01,1.032187044620513916e-01
5.110841989517211914e-01,6.151648163795471191e-01
1.327813714742660522e-01,8.331111669540405273e-01
6.202543377876281738e-01,5.014627575874328613e-01
5.861655473709106445e-01,5.177671909332275391e-01
5.892941355705261230e-01,5.163010954856872559e-01
8.115504384040832520e-01,2.049887478351593018e-01
5.605636239051818848e-01,4.266672134399414062e-01
4.289861321449279785e-01,3.581622242927551270e-01
4.493971467018127441e-01,3.346660733222961426e-01
4.622904956340789795e-01,3.023163378238677979e-01
4.557498991489410400e-01,3.100847005844116211e-01
4.374033510684967041e-01,3.139564394950866699e-01
6.589885354042053223e-01,3.137670755386352539e-01
6.289575099945068359e-01,3.298035562038421631e-01
6.118814349174499512e-01,3.318316936492919922e-01
6.187748908996582031e-01,3.436957001686096191e-01
6.152273416519165039e-01,3.516357839107513428e-01
6.509419083595275879e-01,3.336041569709777832e-01
6.496032476425170898e-01,2.259064018726348877e-01
8.811727166175842285e-01,2.082682549953460693e-01
8.713893294334411621e-01,2.032596468925476074e-01
8.634279966354370117e-01,1.971406340599060059e-01
8.750264644622802734e-01,1.939906775951385498e-01
6.700644493103027344e-01,1.690799891948699951e-01
3.716013133525848389e-01,1.367689073085784912e-01
3.564568758010864258e-01,1.408112943172454834e-01
3.689490854740142822e-01,1.430429518222808838e-01
3.565003871917724609e-01,1.464250683784484863e-01
4.479655921459197998e-01,4.098735451698303223e-01
2.363681346178054810e-01,5.827468633651733398e-01
2.115537673234939575e-01,5.948248505592346191e-01
2.110974937677383423e-01,5.921210646629333496e-01
2.095640003681182861e-01,6.237954497337341309e-01
2.238993495702743530e-01,6.235345005989074707e-01
1.977667510509490967e-01,6.362547874450683594e-01
2.982853055000305176e-01,7.842780351638793945e-01
2.709818780422210693e-01,8.465992808341979980e-01
2.863808870315551758e-01,8.351699113845825195e-01
2.620976567268371582e-01,8.508557081222534180e-01
2.528989613056182861e-01,8.357561826705932617e-01
4.145574569702148438e-02,6.305841803550720215e-01
3.903442621231079102e-02,6.220334768295288086e-01
3.126725554466247559e-02,6.156418323516845703e-01
5.772626399993896484e-02,6.525415182113647461e-01
3.462934494018554688e-02,6.256523132324218750e-01
0.000000000000000000e+00,6.551694869995117188e-01
4.791677892208099365e-01,9.116905927658081055e-02
4.802452921867370605e-01,1.556144356727600098e-01
5.228960514068603516e-01,1.392166316509246826e-01
4.931230843067169189e-01,1.537393033504486084e-01
8.045873045921325684e-01,2.914145588874816895e-02
8.012617826461791992e-01,2.964162826538085938e-02
8.550963997840881348e-01,1.368123590946197510e-01
4.153135418891906738e-01,5.321747064590454102e-02
4.200448393821716309e-01,6.340599060058593750e-02
1.428385674953460693e-01,9.844857454299926758e-01
1.527538150548934937e-01,9.971303343772888184e-01
1.352715343236923218e-01,9.588582515716552734e-01
1.300857216119766235e-01,9.323614835739135742e-01
1.236320137977600098e-01,9.188829064369201660e-01
1.918538510799407959e-01,8.235881328582763672e-01
1.416459828615188599e-01,7.470356225967407227e-01
1.431858986616134644e-01,7.659521698951721191e-01
1.548199802637100220e-01,7.639846801757812500e-01
2.039617449045181274e-01,6.888490915298461914e-01
2.089369148015975952e-01,6.974571943283081055e-01
1.705875396728515625e-01,7.292544841766357422e-01
1.510972529649734497e-01,8.011934757232666016e-01
1.753357350826263428e-01,7.690610289573669434e-01
2.442846000194549561e-01,7.306327223777770996e-01
1.665834039449691772e-01,7.882773280143737793e-01
2.566421926021575928e-01,6.729584932327270508e-01
2.905334532260894775e-01,6.344541907310485840e-01
2.949197590351104736e-01,5.497704744338989258e-01
2.848492562770843506e-01,5.880122780799865723e-01
3.116001188755035400e-01,5.684325098991394043e-01
2.862711250782012939e-01,6.148889064788818359e-01
2.718165516853332520e-01,6.104651093482971191e-01
2.856113314628601074e-01,5.991567373275756836e-01
3.146183490753173828e-01,6.217008829116821289e-01
2.815259099006652832e-01,6.669887304306030273e-01
2.258848100900650024e-01,8.943421840667724609e-01
2.521679699420928955e-01,9.105101823806762695e-01
2.261854261159896851e-01,8.815967440605163574e-01
1.991610080003738403e-01,8.895031809806823730e-01
1.705978959798812866e-01,9.517489671707153320e-01
9.918695092201232910e-01,2.918697297573089600e-01
9.883254766464233398e-01,2.915515601634979248e-01
9.852132201194763184e-01,2.597415745258331299e-01
