x,y
8.250805735588073730e-01,3.611959218978881836e-01
5.447110533714294434e-01,8.306931853294372559e-01
7.619035243988037109e-02,2.589149475097656250e-01
6.589530706405639648e-01,3.762453794479370117e-01
3.259760141372680664e-01,2.157309651374816895e-01
6.825914382934570312e-01,4.394067823886871338e-01
4.935230016708374023e-01,5.881117582321166992e-01
1.426225900650024414e-01,8.436989784240722656e-01
5.817646980285644531e-01,2.609462738037109375e-01
1.105259656906127930e-01,1.700744032859802246e-01
1.642837524414062500e-01,3.531952798366546631e-01
3.662489652633666992e-01,7.260233759880065918e-01
4.021455049514770508e-01,9.840450286865234375e-01
4.543101191520690918e-01,3.783268332481384277e-01
3.001816868782043457e-01,6.016112565994262695e-01
8.338707685470581055e-01,3.680998086929321289e-01
0.000000000000000000e+00,1.845866441726684570e-01
7.406610250473022461e-01,3.409080207347869873e-01
8.374298810958862305e-01,5.965508222579956055e-01
3.888803124427795410e-01,6.229799985885620117e-01
1.000000000000000000e+00,5.855712294578552246e-01
8.987381458282470703e-01,7.098352909088134766e-01
9.410658478736877441e-01,7.301657795906066895e-01
3.631417751312255859e-01,0.000000000000000000e+00
1.638610363006591797e-01,1.000000000000000000e+00
2.800765037536621094e-01,2.936963438987731934e-01
1.631894111633300781e-01,1.929395198822021484e-01
1.534906029701232910e-01,1.791311502456665039e-01
3.668811917304992676e-01,7.628828287124633789e-01
2.631044387817382812e-02,6.850225329399108887e-01
2.169226408004760742e-01,9.069072008132934570e-01
2.460139393806457520e-01,3.353929519653320312e-02
1.082427501678466797e-01,5.492120981216430664e-02
1.252225041389465332e-01,6.295830011367797852e-02
2.551288604736328125e-01,4.376904070377349854e-01
1.569365859031677246e-01,6.606057286262512207e-01
8.067240715026855469e-01,9.263682961463928223e-01
1.411612629890441895e-01,1.774078607559204102e-02
3.507502079010009766e-01,1.434218883514404297e-01
2.404139637947082520e-01,2.310669422149658203e-01
5.509446859359741211e-01,4.929872453212738037e-01
5.361046791076660156e-01,6.405494213104248047e-01
7.198596000671386719e-01,5.495338439941406250e-01
4.960153698921203613e-01,7.004873752593994141e-01
4.345738887786865234e-01,6.308195590972900391e-01
3.682894110679626465e-01,9.878842830657958984e-01
1.553090214729309082e-01,6.819405555725097656e-01
3.156253099441528320e-01,6.338229179382324219e-01
6.314512491226196289e-01,5.323302745819091797e-01
7.824590206146240234e-01,8.292303085327148438e-01
6.272169351577758789e-01,8.111863732337951660e-01
5.356569290161132812e-01,3.793901503086090088e-01
3.160380721092224121e-01,5.096514225006103516e-01
5.849587321281433105e-01,4.958744943141937256e-01
5.791969299316406250e-01,7.022032141685485840e-01
4.591927528381347656e-01,6.964959502220153809e-01
4.029120206832885742e-01,8.507001399993896484e-01
2.778922319412231445e-01,5.024440288543701172e-01
8.275402784347534180e-01,6.966214776039123535e-01
6.815996170043945312e-01,7.183175086975097656e-01
4.259855747222900391e-01,5.383867621421813965e-01
5.714290738105773926e-01,3.245547115802764893e-01
3.213643431663513184e-01,4.863811135292053223e-01
5.549257397651672363e-01,8.800825476646423340e-01
6.678451299667358398e-01,6.412130594253540039e-01
4.384601116180419922e-01,7.694095373153686523e-01
5.969645380973815918e-01,6.076446175575256348e-01
5.301532149314880371e-01,8.158479928970336914e-01
3.375012278556823730e-01,5.242025852203369141e-01
9.328641295433044434e-01,4.850173890590667725e-01
3.008137345314025879e-01,8.823065757751464844e-01
5.149049758911132812e-01,5.467246770858764648e-01
8.346251249313354492e-01,4.742436408996582031e-01
6.308310031890869141e-01,7.751448750495910645e-01
6.929047703742980957e-01,5.871891379356384277e-01
4.120148420333862305e-01,5.008887052536010742e-01
5.897777080535888672e-01,9.552704691886901855e-01
3.513541817665100098e-01,7.674877047538757324e-01
2.596376538276672363e-01,3.675169050693511963e-01
4.898449778556823730e-01,7.419334650039672852e-01
