x,y
9.077792763710021973e-01,7.210922241210937500e-01
6.277299523353576660e-01,7.654936909675598145e-01
7.325877547264099121e-01,1.573265790939331055e-01
4.647417068481445312e-01,6.732090711593627930e-01
7.788506746292114258e-01,6.549008488655090332e-01
2.403396368026733398e-01,0.000000000000000000e+00
8.460233807563781738e-01,7.007310390472412109e-01
3.549541234970092773e-01,7.744912505149841309e-01
1.915399730205535889e-01,6.449170708656311035e-01
8.828644752502441406e-01,3.816723227500915527e-01
2.824816107749938965e-01,6.724367141723632812e-01
1.850916445255279541e-01,6.528354287147521973e-01
7.939051389694213867e-01,7.862167358398437500e-01
6.534289121627807617e-01,7.607603073120117188e-01
9.884686470031738281e-01,4.156571030616760254e-01
7.416087388992309570e-01,1.974198222160339355e-01
2.565145492553710938e-02,6.588631868362426758e-01
8.854550123214721680e-01,4.204923510551452637e-01
6.093533635139465332e-01,6.381133198738098145e-02
6.641372442245483398e-01,1.509809792041778564e-01
7.951448559761047363e-01,8.094714283943176270e-01
5.098772048950195312e-02,6.897107362747192383e-01
7.585731744766235352e-01,7.412199378013610840e-01
4.810051918029785156e-01,7.021378278732299805e-01
7.443692684173583984e-01,1.762997508049011230e-01
6.066439151763916016e-01,8.162533044815063477e-01
8.641326427459716797e-02,7.110830545425415039e-01
5.478259325027465820e-01,8.635434508323669434e-02
9.195308685302734375e-01,2.301873564720153809e-01
4.817838668823242188e-01,8.694126605987548828e-01
8.609065413475036621e-01,7.663002014160156250e-01
4.044335484504699707e-01,7.729817628860473633e-01
4.254603385925292969e-01,6.575925350189208984e-01
7.755756378173828125e-01,1.378650665283203125e-01
7.416504621505737305e-01,5.394599437713623047e-01
8.701216578483581543e-01,7.339474558830261230e-01
6.712482571601867676e-01,9.936571121215820312e-01
8.037611842155456543e-01,6.422407031059265137e-01
6.032464504241943359e-01,3.864252567291259766e-02
7.597358226776123047e-01,8.067396879196166992e-01
7.876092195510864258e-01,1.604864299297332764e-01
1.491916179656982422e-02,6.619057655334472656e-01
9.639277458190917969e-01,8.170407414436340332e-01
7.613614201545715332e-01,5.347713232040405273e-01
6.021146774291992188e-01,1.409832239151000977e-01
9.703099727630615234e-01,7.973607778549194336e-01
2.445896863937377930e-01,7.482014298439025879e-01
6.194894909858703613e-01,9.578942656517028809e-01
9.016641974449157715e-01,8.062257170677185059e-01
9.503182768821716309e-01,6.367901563644409180e-01
2.184414565563201904e-01,8.233578801155090332e-01
6.510280966758728027e-01,6.034341454505920410e-01
6.417571306228637695e-01,1.608160138130187988e-01
7.502436637878417969e-01,7.331227064132690430e-01
2.342448234558105469e-01,1.442307233810424805e-02
2.782771885395050049e-01,6.504620313644409180e-01
8.914831876754760742e-01,3.637425303459167480e-01
9.319720864295959473e-01,8.445776700973510742e-01
6.589564681053161621e-01,1.401701569557189941e-01
1.280348896980285645e-01,7.184991240501403809e-01
