x,y
1.358624398708343506e-01,8.099469542503356934e-01
1.484790444374084473e-01,8.013643026351928711e-01
9.152683615684509277e-02,8.926407098770141602e-01
1.121404767036437988e-02,9.779329895973205566e-01
3.841501772403717041e-01,5.478025674819946289e-01
2.661848068237304688e-02,9.835742115974426270e-01
6.364268064498901367e-02,9.507496953010559082e-01
4.007574915885925293e-02,9.334194660186767578e-01
1.519480645656585693e-01,7.977992296218872070e-01
1.703181862831115723e-01,8.167164921760559082e-01
1.604965329170227051e-02,9.920020103454589844e-01
6.863313913345336914e-02,9.455552697181701660e-01
5.040064454078674316e-02,9.579330086708068848e-01
1.081504821777343750e-01,8.733046054840087891e-01
8.153825998306274414e-03,9.930182695388793945e-01
4.922986030578613281e-02,9.521160721778869629e-01
6.801581382751464844e-02,9.452150464057922363e-01
1.166225373744964600e-01,8.594315648078918457e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.917689979076385498e-01,6.509770154953002930e-01
3.451074659824371338e-01,5.947859287261962891e-01
3.628759980201721191e-01,5.906890034675598145e-01
1.751430332660675049e-01,8.066396117210388184e-01
1.811020970344543457e-01,7.902386784553527832e-01
2.884520888328552246e-01,6.497509479522705078e-01
3.091464042663574219e-01,6.405625939369201660e-01
8.781117200851440430e-02,8.992514014244079590e-01
4.589122533798217773e-02,9.287030696868896484e-01
2.519509494304656982e-01,7.041496038436889648e-01
1.754127144813537598e-01,8.072981238365173340e-01
4.596918821334838867e-02,9.286852478981018066e-01
8.940130472183227539e-03,9.861471652984619141e-01
1.908139884471893311e-01,7.729020118713378906e-01
6.724250316619873047e-02,9.100232720375061035e-01
1.415008306503295898e-01,8.458549380302429199e-01
2.484831660985946655e-01,7.079598307609558105e-01
2.712489962577819824e-01,6.764352917671203613e-01
1.359900832176208496e-01,8.516640663146972656e-01
1.701279580593109131e-01,7.840740680694580078e-01
3.588777184486389160e-01,5.728480219841003418e-01
3.343497812747955322e-01,6.127563118934631348e-01
1.578983068466186523e-01,7.902019023895263672e-01
1.288425922393798828e-01,8.348931074142456055e-01
4.511159062385559082e-01,4.721773564815521240e-01
2.705968618392944336e-01,6.837213039398193359e-01
1.337782740592956543e-01,8.244025111198425293e-01
1.467849612236022949e-01,8.193799257278442383e-01
1.942221224308013916e-01,7.698532938957214355e-01
1.609427332878112793e-01,8.275964856147766113e-01
7.141411304473876953e-02,9.284986257553100586e-01
1.081263124942779541e-01,8.732504844665527344e-01
7.311311364173889160e-02,9.343387484550476074e-01
8.856064081192016602e-02,8.952726721763610840e-01
2.954044938087463379e-02,9.598976969718933105e-01
1.618892252445220947e-01,8.289053440093994141e-01
1.187968254089355469e-01,8.510168790817260742e-01
2.065959423780441284e-01,7.552349567413330078e-01
5.489063262939453125e-02,9.208322763442993164e-01
4.591020941734313965e-02,9.285823106765747070e-01
7.152168154716491699e-01,2.061194479465484619e-01
4.541182816028594971e-01,4.746228456497192383e-01
8.527757525444030762e-01,1.198755800724029541e-01
5.216636061668395996e-01,3.971330821514129639e-01
8.999661207199096680e-01,8.600443601608276367e-02
9.526926875114440918e-01,1.546269655227661133e-02
4.663775861263275146e-01,4.758524298667907715e-01
7.455457448959350586e-01,1.738954782485961914e-01
7.335416078567504883e-01,1.835345327854156494e-01
3.774309456348419189e-01,5.678586363792419434e-01
3.747181296348571777e-01,5.227013230323791504e-01
2.779080867767333984e-01,6.693648695945739746e-01
9.060159325599670410e-01,6.498602032661437988e-02
8.060544729232788086e-01,1.437442004680633545e-01
